2014 SVI Multi-Unit Structures Data and Encoding,2015 SVI Multi-Unit Structures Data and Encoding,2016 SVI Multi-Unit Structures Data and Encoding,2017 SVI Multi-Unit Structures Data and Encoding,2018 SVI Multi-Unit Structures Data and Encoding,2019 SVI Multi-Unit Structures Data and Encoding,2020 SVI Multi-Unit Structures Data and Encoding
65.23,65.17,65.11,66.65,68.19,69.17,70.15
39.51,46.15,52.79,55.34,57.88,53.5,49.11
28.14,29.62,31.1,32.51,33.91,34.3,34.69
70.9,71.26,71.63,71.14,70.65,68.62,66.58
68.74,68.42,68.1,69.01,69.91,70.03,70.15
31.74,27.51,23.27,21.42,19.58,17.72,15.85
58.87,58.82,58.77,56.64,54.5,47.78,41.06
21.3,24.02,26.74,27.36,27.98,29.46,30.94
35.4,30.16,24.93,21.24,17.54,23.32,29.09
43.2,43.25,43.3,40.28,37.25,35.97,34.69
67.97,67.06,66.16,66.8,67.43,68.42,69.41
74.5,74.1,73.7,72.18,70.65,72.01,73.36
92.77,92.77,92.77,92.64,92.52,92.41,92.3
97.42,97.42,97.42,97.39,97.36,97.02,96.69
64.37,64.39,64.41,63.86,63.32,60.91,58.5
40.27,38.01,35.75,29.96,24.16,28.39,32.62
75.64,76.13,76.63,75.85,75.07,74.87,74.67
70.01,72.84,75.68,75.55,75.42,74.39,73.36
74.69,75.81,76.92,77.08,77.24,75.62,74.0
74.34,75.1,75.87,74.68,73.48,71.0,68.52
89.75,89.67,89.59,89.44,89.3,88.58,87.87
56.96,55.78,54.6,52.7,50.81,52.34,53.88
88.25,88.48,88.7,88.66,88.63,88.4,88.16
96.72,96.75,96.78,96.66,96.53,96.61,96.69
64.92,68.8,72.68,73.88,75.07,72.91,70.75
99.14,99.14,99.14,99.11,99.08,99.06,99.05
98.66,98.63,98.6,98.49,98.38,98.3,98.22
34.57,34.76,34.96,41.49,48.01,51.62,55.22
81.95,80.98,80.01,81.57,83.13,84.76,86.38
82.17,81.04,79.91,83.82,87.74,88.35,88.96
64.88,57.6,50.33,49.9,49.47,49.29,49.11
86.85,86.56,86.28,85.54,84.81,82.9,81.0
90.39,90.98,91.56,91.62,91.69,91.3,90.9
99.71,99.68,99.65,99.57,99.49,99.49,99.49
96.02,96.05,96.08,96.06,96.05,96.13,96.21
65.39,65.88,66.38,64.39,62.4,62.45,62.51
81.03,80.93,80.83,80.96,81.09,80.18,79.28
86.09,85.94,85.8,85.64,85.48,85.53,85.58
18.75,22.02,25.28,21.41,17.54,13.78,10.03
94.94,94.89,94.84,94.64,94.43,94.26,94.08
74.75,75.02,75.29,75.8,76.31,76.81,77.31
91.69,91.5,91.31,90.94,90.58,89.77,88.96
89.81,89.34,88.86,88.57,88.28,87.41,86.54
97.17,97.23,97.29,97.37,97.45,97.44,97.42
7.45,6.9,6.34,6.62,6.91,9.39,11.87
97.36,97.3,97.23,97.16,97.1,97.04,96.98
82.65,82.9,83.16,83.14,83.13,82.67,82.21
99.43,99.43,99.43,99.4,99.36,99.36,99.36
89.72,89.58,89.43,89.72,90.0,89.92,89.85
10.7,10.19,9.68,11.68,13.69,11.86,10.03
36.61,37.1,37.6,41.68,45.75,47.43,49.11
55.01,52.66,50.3,49.16,48.01,47.42,46.82
58.17,58.63,59.09,58.48,57.88,57.14,56.4
37.76,38.73,39.7,37.76,35.82,33.38,30.94
26.07,22.27,18.47,25.24,32.0,38.72,45.45
37.15,35.56,33.97,33.94,33.91,38.96,44.02
40.85,40.84,40.82,39.03,37.25,34.1,30.94
77.59,77.36,77.14,76.28,75.42,75.54,75.65
24.01,23.46,22.92,24.36,25.79,24.83,23.87
78.1,78.8,79.5,78.6,77.71,77.73,77.75
53.07,58.5,63.93,62.05,60.17,60.34,60.5
89.18,89.37,89.56,89.92,90.29,90.66,91.02
40.43,37.44,34.45,32.12,29.8,33.88,37.97
66.51,67.18,67.84,66.3,64.76,63.12,61.49
24.26,31.52,38.78,36.34,33.91,28.89,23.87
73.0,73.76,74.53,73.41,72.3,72.58,72.85
43.46,37.01,30.56,32.24,33.91,34.3,34.69
80.8,81.58,82.36,81.96,81.57,78.61,75.65
20.53,19.85,19.17,20.66,22.16,22.17,22.18
65.01,64.18,63.36,64.54,65.71,68.23,70.75
45.08,52.53,59.98,61.98,63.99,60.68,57.38
91.91,91.76,91.6,91.09,90.58,90.7,90.83
72.08,70.74,69.4,72.41,75.42,76.02,76.61
86.15,86.12,86.09,85.52,84.94,84.66,84.37
43.17,42.37,41.58,40.98,40.37,39.93,39.5
53.01,55.02,57.02,61.36,65.71,64.94,64.16
82.11,80.12,78.13,78.78,79.43,80.04,80.65
69.15,68.8,68.45,68.6,68.74,69.08,69.41
51.86,49.95,48.04,50.03,52.02,56.26,60.5
78.26,79.29,80.32,81.31,82.3,83.34,84.37
50.37,49.35,48.33,44.35,40.37,39.93,39.5
97.2,97.06,96.91,96.58,96.24,96.37,96.5
66.86,66.92,66.99,68.82,70.65,71.01,71.36
55.78,51.38,46.99,48.23,49.47,51.05,52.64
39.67,47.46,55.24,56.56,57.88,57.14,56.4
95.1,94.7,94.3,93.96,93.63,94.24,94.84
81.5,81.39,81.28,81.18,81.09,79.42,77.75
96.05,96.13,96.21,96.04,95.86,95.7,95.54
20.57,22.11,23.65,24.72,25.79,27.44,29.09
92.71,92.48,92.26,92.29,92.33,91.85,91.37
13.79,13.79,13.79,12.07,10.35,7.38,4.42
6.59,7.02,7.45,7.94,8.44,7.76,7.07
47.15,48.04,48.93,48.47,48.01,46.73,45.45
51.8,45.37,38.94,26.32,13.69,11.86,10.03
64.69,61.34,57.98,57.93,57.88,61.86,65.85
66.83,67.72,68.61,68.4,68.19,69.17,70.15
35.15,31.0,26.84,32.04,37.25,34.94,32.62
72.46,73.72,74.98,75.03,75.07,71.8,68.52
83.7,83.65,83.6,83.08,82.55,82.38,82.21
38.71,39.26,39.8,39.4,39.0,36.84,34.69
80.61,80.36,80.1,81.03,81.95,81.48,81.0
69.66,68.1,66.54,64.0,61.45,64.53,67.6
62.37,63.34,64.31,66.25,68.19,65.74,63.3
63.04,62.26,61.48,60.4,59.31,62.94,66.58
78.13,76.46,74.79,76.25,77.71,78.31,78.9
14.58,15.16,15.73,16.63,17.54,17.81,18.08
74.31,73.32,72.33,71.49,70.65,69.12,67.6
49.86,48.38,46.9,46.84,46.77,47.52,48.28
10.63,11.94,13.24,12.56,11.88,10.27,8.66
78.76,78.94,79.11,79.14,79.18,79.04,78.9
36.36,36.57,36.77,32.38,27.98,25.08,22.18
91.02,90.9,90.77,90.38,90.0,90.04,90.07
19.04,20.01,20.98,21.57,22.16,19.0,15.85
40.18,39.51,38.84,39.61,40.37,40.72,41.06
21.27,20.41,19.55,20.86,22.16,21.0,19.83
31.39,30.07,28.75,33.0,37.25,34.1,30.94
21.39,24.02,26.65,25.4,24.16,24.9,25.65
46.45,40.34,34.22,39.35,44.48,48.04,51.59
82.84,82.72,82.59,81.84,81.09,81.04,81.0
32.47,27.48,22.48,22.32,22.16,22.17,22.18
19.99,21.96,23.94,27.97,32.0,29.49,26.99
77.36,77.4,77.43,77.08,76.73,78.0,79.28
66.41,67.64,68.86,67.7,66.54,66.88,67.22
63.74,65.5,67.27,65.63,63.99,67.37,70.75
46.58,45.53,44.48,43.1,41.71,42.86,44.02
36.04,32.26,28.49,33.75,39.0,39.25,39.5
65.04,67.52,70.01,69.38,68.74,66.88,65.02
28.33,28.84,29.35,31.63,33.91,28.89,23.87
61.16,61.22,61.29,60.73,60.17,61.34,62.51
95.89,95.81,95.73,95.68,95.64,95.45,95.26
91.05,91.12,91.18,91.26,91.34,90.91,90.48
51.23,52.37,53.52,53.42,53.33,53.6,53.88
52.88,48.57,44.25,45.0,45.75,44.1,42.46
88.32,88.34,88.35,88.19,88.03,88.1,88.16
75.55,76.58,77.62,76.52,75.42,72.78,70.15
85.51,85.92,86.34,86.44,86.53,87.0,87.46
98.03,97.84,97.64,97.98,98.31,98.4,98.5
81.82,81.23,80.64,80.86,81.09,79.82,78.55
93.95,94.71,95.48,95.49,95.51,95.68,95.86
86.56,85.93,85.29,84.8,84.3,82.08,79.85
76.15,75.04,73.93,73.11,72.3,73.77,75.24
88.95,88.58,88.22,87.54,86.85,85.61,84.37
32.41,32.92,33.43,32.71,32.0,43.61,55.22
87.68,87.65,87.62,88.27,88.92,88.54,88.16
73.67,73.35,73.03,72.67,72.3,71.83,71.36
97.68,97.71,97.74,97.66,97.58,97.71,97.84
72.97,73.18,73.38,73.23,73.07,69.82,66.58
68.26,67.48,66.7,67.06,67.43,64.97,62.51
76.85,76.13,75.42,73.86,72.3,76.08,79.85
77.62,77.86,78.1,77.67,77.24,77.9,78.55
96.69,96.78,96.88,96.7,96.53,96.34,96.15
65.74,69.8,73.86,76.36,78.86,75.44,72.02
88.63,88.52,88.41,88.66,88.92,89.97,91.02
70.14,71.28,72.43,72.96,73.48,70.35,67.22
66.67,65.9,65.14,65.84,66.54,63.52,60.5
87.97,87.94,87.9,87.7,87.49,85.18,82.88
91.09,90.16,89.24,88.76,88.28,88.22,88.16
69.28,69.15,69.02,68.23,67.43,71.05,74.67
99.3,99.32,99.33,99.3,99.27,99.27,99.27
66.09,63.99,61.89,58.8,55.71,53.18,50.64
60.39,58.54,56.7,57.29,57.88,64.32,70.75
85.35,83.58,81.82,81.04,80.26,79.77,79.28
69.21,69.79,70.36,72.27,74.18,73.77,73.36
75.52,72.91,70.3,64.09,57.88,51.67,45.45
67.84,67.24,66.63,66.17,65.71,67.56,69.41
87.2,87.08,86.95,84.75,82.55,83.27,83.99
73.54,72.47,71.41,75.13,78.86,76.67,74.47
69.18,68.84,68.51,73.68,78.86,79.76,80.65
74.59,76.26,77.94,78.08,78.22,78.75,79.28
64.98,60.2,55.43,57.8,60.17,55.88,51.59
38.94,47.8,56.67,57.28,57.88,52.35,46.82
71.09,73.78,76.47,75.32,74.18,73.52,72.85
57.98,55.53,53.07,53.78,54.5,56.5,58.5
93.28,92.85,92.42,92.68,92.93,92.52,92.11
88.35,88.49,88.63,88.96,89.3,90.45,91.6
74.05,76.61,79.18,77.96,76.73,72.17,67.6
69.63,68.42,67.21,69.76,72.3,73.15,74.0
85.99,85.72,85.45,85.04,84.62,84.3,83.99
68.1,67.42,66.73,68.32,69.91,69.22,68.52
81.28,79.29,77.3,79.92,82.55,81.99,81.44
79.02,79.21,79.4,78.55,77.71,74.87,72.02
88.44,87.66,86.88,86.45,86.02,85.8,85.58
69.82,69.1,68.39,66.57,64.76,67.08,69.41
86.44,86.96,87.49,88.89,90.29,91.08,91.88
90.83,87.79,84.75,85.26,85.77,87.28,88.8
81.57,82.18,82.78,83.24,83.7,81.49,79.28
93.22,93.09,92.96,92.9,92.84,93.12,93.41
73.7,73.72,73.73,74.57,75.42,73.08,70.75
87.84,88.16,88.48,89.24,90.0,91.29,92.58
65.3,64.98,64.66,63.53,62.4,59.89,57.38
83.99,80.34,76.7,80.34,83.99,84.69,85.39
91.6,91.95,92.3,92.02,91.75,91.53,91.31
71.47,63.75,56.03,57.67,59.31,63.92,68.52
99.2,99.2,99.2,99.15,99.11,99.1,99.08
80.01,79.77,79.53,77.48,75.42,74.71,74.0
81.85,82.84,83.83,82.7,81.57,80.6,79.63
73.93,73.34,72.75,74.53,76.31,80.15,83.99
90.26,90.61,90.96,90.13,89.3,89.26,89.21
77.84,77.58,77.33,78.26,79.18,76.82,74.47
83.57,84.02,84.46,84.22,83.99,84.78,85.58
89.65,89.9,90.16,90.02,89.88,89.42,88.96
78.54,79.37,80.2,81.86,83.51,83.04,82.56
85.96,85.5,85.04,84.67,84.3,84.94,85.58
72.72,72.23,71.73,69.96,68.19,68.8,69.41
95.86,96.13,96.4,96.54,96.69,96.8,96.91
90.89,89.48,88.06,88.41,88.76,88.38,88.0
94.78,93.76,92.74,91.66,90.58,88.3,86.03
90.1,88.27,86.44,84.5,82.55,82.72,82.88
61.13,57.94,54.76,56.32,57.88,60.59,63.3
79.08,75.34,71.6,70.17,68.74,75.48,82.21
55.11,60.08,65.04,66.62,68.19,66.6,65.02
73.96,75.81,77.65,74.97,72.3,78.33,84.37
82.36,84.5,86.63,83.86,81.09,78.6,76.1
86.37,85.93,85.48,84.74,83.99,84.9,85.81
72.43,68.75,65.07,70.46,75.84,78.42,81.0
84.78,82.62,80.45,83.11,85.77,84.16,82.56
88.19,89.4,90.61,91.47,92.33,90.77,89.21
78.41,79.88,81.34,81.04,80.74,79.24,77.75
70.65,70.49,70.33,72.43,74.53,72.94,71.36
57.78,65.78,73.77,73.62,73.48,68.82,64.16
36.29,37.44,38.59,35.3,32.0,47.26,62.51
2.9,2.82,2.74,3.31,3.88,13.87,23.87
45.4,41.84,38.27,37.76,37.25,39.16,41.06
2.99,3.63,4.27,4.08,3.88,11.86,19.83
64.95,66.16,67.37,62.11,56.86,56.04,55.22
13.34,12.0,10.67,14.1,17.54,13.78,10.03
3.34,2.94,2.55,2.63,2.71,2.93,3.15
17.41,20.2,22.99,16.67,10.35,11.11,11.87
24.61,28.68,32.76,30.37,27.98,21.92,15.85
69.05,74.24,79.43,74.67,69.91,54.71,39.5
3.53,3.2,2.87,2.79,2.71,1.36,0.0
15.76,18.22,20.69,17.9,15.12,16.6,18.08
53.58,59.96,66.35,61.03,55.71,58.1,60.5
7.48,7.05,6.62,4.66,2.71,2.93,3.15
7.55,6.82,6.08,4.98,3.88,11.86,19.83
67.69,66.48,65.27,64.63,63.99,61.69,59.39
88.16,87.74,87.33,88.04,88.76,87.88,87.01
3.15,1.58,0.0,0.0,0.0,2.21,4.42
4.39,2.2,0.0,3.45,6.91,16.95,26.99
35.05,26.34,17.64,21.72,25.79,29.2,32.62
55.97,53.86,51.74,40.77,29.8,40.7,51.59
56.67,58.28,59.89,60.03,60.17,59.34,58.5
90.77,91.61,92.45,92.39,92.33,91.2,90.07
81.6,82.11,82.62,82.29,81.95,82.62,83.29
12.45,12.12,11.78,13.45,15.12,20.39,25.65
26.33,23.41,20.5,16.19,11.88,19.43,26.99
20.98,33.52,46.07,57.13,68.19,69.17,70.15
27.19,20.45,13.72,21.76,29.8,33.88,37.97
70.33,71.9,73.48,74.9,76.31,76.46,76.61
19.26,12.29,5.32,4.6,3.88,4.15,4.42
10.03,23.72,37.41,38.2,39.0,35.81,32.62
5.25,4.03,2.8,2.76,2.71,1.36,0.0
37.95,36.23,34.51,34.21,33.91,28.89,23.87
10.76,10.46,10.16,6.43,2.71,4.89,7.07
87.04,86.28,85.51,88.76,92.01,92.94,93.86
86.21,85.46,84.72,83.34,81.95,83.99,86.03
57.82,62.24,66.67,67.43,68.19,70.1,72.02
2.64,2.94,3.25,7.56,11.88,15.86,19.83
14.42,19.11,23.81,21.7,19.58,21.72,23.87
74.63,75.34,76.06,79.01,81.95,83.4,84.85
43.68,44.74,45.81,49.57,53.33,48.68,44.02
22.09,22.52,22.95,19.04,15.12,22.1,29.09
72.4,70.28,68.16,65.28,62.4,60.45,58.5
77.4,78.16,78.92,79.18,79.43,78.02,76.61
40.78,33.11,25.44,22.51,19.58,30.32,41.06
9.93,8.6,7.26,9.57,11.88,11.88,11.87
19.33,13.71,8.09,6.8,5.51,4.33,3.15
4.14,7.31,10.47,12.8,15.12,29.57,44.02
12.8,17.91,23.02,23.59,24.16,27.55,30.94
23.24,28.9,34.57,28.36,22.16,17.81,13.46
33.21,31.2,29.19,31.55,33.91,33.26,32.62
88.12,89.35,90.58,89.43,88.28,88.22,88.16
39.1,27.29,15.47,17.53,19.58,14.81,10.03
16.78,20.12,23.46,21.52,19.58,14.81,10.03
10.89,8.2,5.51,5.51,5.51,4.96,4.42
22.25,26.83,31.42,45.79,60.17,68.74,77.31
5.13,5.16,5.19,8.54,11.88,12.67,13.46
41.17,34.99,28.81,23.18,17.54,26.88,36.22
10.6,7.1,3.6,11.59,19.58,24.34,29.09
71.89,69.93,67.97,66.84,65.71,63.6,61.49
32.82,30.46,28.11,20.0,11.88,9.48,7.07
6.65,6.6,6.56,3.28,0.0,0.0,0.0
18.62,14.86,11.11,9.78,8.44,7.76,7.07
8.66,10.14,11.62,14.58,17.54,16.7,15.85
4.2,5.24,6.27,5.89,5.51,18.23,30.94
44.76,47.16,49.57,45.64,41.71,41.39,41.06
33.43,32.14,30.85,25.22,19.58,28.78,37.97
31.52,29.65,27.79,25.98,24.16,18.81,13.46
6.21,7.99,9.77,15.96,22.16,31.61,41.06
33.17,35.74,38.3,40.01,41.71,42.86,44.02
92.74,93.32,93.89,94.35,94.81,92.24,89.66
21.04,28.2,35.37,33.68,32.0,38.72,45.45
0.0,1.32,2.64,2.68,2.71,4.25,5.79
81.44,81.55,81.66,80.09,78.51,78.13,77.75
63.77,63.48,63.2,68.86,74.53,75.92,77.31
16.52,26.4,36.29,37.65,39.0,27.42,15.85
13.56,9.15,4.74,9.22,13.69,20.34,26.99
10.54,9.6,8.66,13.1,17.54,21.6,25.65
8.56,9.14,9.71,8.31,6.91,12.5,18.08
24.36,28.64,32.92,27.54,22.16,21.0,19.83
14.39,10.41,6.43,4.57,2.71,5.68,8.66
60.14,63.02,65.9,61.38,56.86,54.22,51.59
58.8,46.96,35.12,27.35,19.58,28.78,37.97
47.02,40.58,34.13,23.0,11.88,15.86,19.83
28.88,28.88,28.88,33.06,37.25,34.94,32.62
24.45,17.83,11.21,13.16,15.12,12.58,10.03
40.02,33.32,26.62,23.1,19.58,26.1,32.62
19.29,18.94,18.59,15.24,11.88,10.96,10.03
9.9,9.66,9.42,14.5,19.58,18.83,18.08
9.42,11.74,14.07,12.21,10.35,9.5,8.66
87.49,87.84,88.19,89.24,90.29,91.02,91.76
84.05,83.72,83.38,82.06,80.74,79.64,78.55
42.12,43.01,43.9,47.96,52.02,48.74,45.45
5.64,6.74,7.83,10.76,13.69,16.76,19.83
33.27,33.6,33.94,32.97,32.0,32.31,32.62
95.38,95.97,96.56,96.92,97.29,97.44,97.58
76.73,77.5,78.26,77.5,76.73,77.46,78.2
40.69,29.94,19.2,31.84,44.48,43.47,42.46
9.65,9.24,8.82,4.41,0.0,3.54,7.07
45.05,45.76,46.48,47.24,48.01,40.32,32.62
41.42,29.06,16.71,17.12,17.54,15.5,13.46
28.4,19.72,11.05,9.75,8.44,10.95,13.46
63.96,62.67,61.38,59.12,56.86,54.22,51.59
5.79,5.73,5.67,4.78,3.88,8.67,13.46
88.98,89.32,89.65,89.48,89.3,88.89,88.48
40.66,30.48,20.31,22.24,24.16,24.02,23.87
81.06,79.91,78.76,78.24,77.71,77.4,77.08
20.25,25.93,31.61,37.39,43.17,33.52,23.87
25.5,30.22,34.93,33.47,32.0,36.53,41.06
9.23,12.42,15.6,15.36,15.12,17.48,19.83
12.96,9.12,5.28,12.43,19.58,16.52,13.46
14.2,19.65,25.09,26.53,27.98,31.34,34.69
59.54,64.66,69.79,60.9,52.02,45.0,37.97
9.3,10.0,10.7,8.8,6.91,7.78,8.66
0.0,7.21,14.42,15.98,17.54,13.78,10.03
22.99,24.96,26.93,22.24,17.54,30.0,42.46
54.31,53.96,53.61,55.24,56.86,57.12,57.38
12.86,10.32,7.77,8.1,8.44,10.95,13.46
29.07,30.69,32.31,36.34,40.37,39.93,39.5
92.96,93.06,93.16,93.52,93.89,93.52,93.16
43.08,46.8,50.53,53.7,56.86,57.68,58.5
17.35,25.07,32.79,30.38,27.98,33.74,39.5
29.67,33.35,37.03,45.18,53.33,46.42,39.5
2.58,2.51,2.45,1.23,0.0,0.0,0.0
27.95,31.55,35.15,27.36,19.58,19.71,19.83
54.95,48.87,42.79,37.4,32.0,25.92,19.83
53.33,50.45,47.56,53.44,59.31,53.06,46.82
30.88,24.14,17.41,14.64,11.88,15.86,19.83
93.06,92.98,92.9,92.82,92.74,93.2,93.67
66.0,66.56,67.11,67.65,68.19,68.36,68.52
55.46,55.84,56.22,54.78,53.33,53.6,53.88
69.75,67.81,65.87,61.87,57.88,58.63,59.39
13.44,14.2,14.96,12.66,10.35,6.75,3.15
46.74,44.43,42.12,43.94,45.75,51.08,56.4
58.39,57.69,56.99,56.35,55.71,51.27,46.82
21.24,23.3,25.37,29.64,33.91,29.78,25.65
32.7,32.12,31.55,30.67,29.8,25.99,22.18
31.1,28.54,25.98,29.94,33.91,37.48,41.06
13.98,17.04,20.09,21.12,22.16,20.12,18.08
43.87,46.64,49.41,40.71,32.0,34.11,36.22
26.52,31.44,36.36,37.68,39.0,32.33,25.65
51.64,50.2,48.77,45.24,41.71,38.97,36.22
33.33,29.67,26.01,33.19,40.37,49.43,58.5
31.49,21.86,12.23,11.29,10.35,14.22,18.08
61.8,62.77,63.74,64.72,65.71,68.86,72.02
59.85,55.24,50.62,50.72,50.81,47.42,44.02
77.55,77.16,76.76,78.51,80.26,75.2,70.15
27.0,24.06,21.11,22.64,24.16,24.02,23.87
35.12,39.3,43.49,32.82,22.16,22.17,22.18
24.86,28.7,32.54,28.35,24.16,34.8,45.45
13.53,15.84,18.15,14.25,10.35,18.67,26.99
23.81,33.4,42.98,39.4,35.82,36.02,36.22
5.06,6.56,8.05,9.96,11.88,17.03,22.18
48.07,45.11,42.15,41.93,41.71,47.8,53.88
71.73,71.25,70.77,71.36,71.95,75.43,78.9
6.05,5.7,5.35,4.61,3.88,3.52,3.15
15.73,20.26,24.8,24.48,24.16,18.81,13.46
3.06,2.84,2.61,8.15,13.69,12.78,11.87
41.2,40.33,39.45,41.96,44.48,36.79,29.09
47.69,45.11,42.53,39.89,37.25,43.94,50.64
70.81,67.46,64.12,64.92,65.71,67.56,69.41
69.85,69.56,69.28,69.01,68.74,74.3,79.85
56.35,50.4,44.44,49.47,54.5,58.0,61.49
93.35,92.74,92.14,92.29,92.45,92.38,92.3
25.12,35.38,45.65,50.68,55.71,49.86,44.02
65.43,63.98,62.53,63.64,64.76,57.7,50.64
19.77,22.3,24.83,16.63,8.44,7.76,7.07
38.2,35.43,32.66,20.55,8.44,7.76,7.07
36.64,40.62,44.6,51.96,59.31,50.89,42.46
34.13,37.46,40.78,39.02,37.25,28.54,19.83
5.16,4.6,4.04,7.96,11.88,11.88,11.87
30.47,28.14,25.82,17.13,8.44,12.14,15.85
83.73,83.76,83.79,83.17,82.55,82.2,81.86
25.44,23.38,21.33,19.43,17.54,18.69,19.83
22.76,26.35,29.93,28.96,27.98,28.54,29.09
73.07,73.26,73.45,68.39,63.32,58.6,53.88
89.88,89.59,89.3,88.96,88.63,88.72,88.8
63.13,66.49,69.85,67.3,64.76,64.03,63.3
13.05,25.34,37.63,33.72,29.8,33.88,37.97
6.84,19.9,32.95,35.98,39.0,34.04,29.09
46.16,42.28,38.4,38.7,39.0,40.03,41.06
15.98,12.27,8.56,4.28,0.0,0.0,0.0
16.05,16.14,16.24,15.68,15.12,35.17,55.22
21.11,25.02,28.94,22.03,15.12,14.29,13.46
71.0,73.1,75.2,71.97,68.74,69.74,70.75
33.84,29.05,24.26,18.07,11.88,10.27,8.66
97.55,97.38,97.2,96.56,95.92,95.36,94.81
26.46,24.82,23.18,23.67,24.16,24.9,25.65
35.53,36.65,37.76,32.87,27.98,23.03,18.08
33.78,34.6,35.43,34.67,33.91,22.89,11.87
12.54,10.01,7.48,7.2,6.91,5.03,3.15
7.83,7.29,6.75,7.6,8.44,9.24,10.03
44.73,44.86,44.99,45.88,46.77,41.5,36.22
31.33,44.9,58.48,53.24,48.01,45.24,42.46
22.6,24.59,26.58,29.29,32.0,27.09,22.18
96.82,96.9,96.98,96.98,96.98,97.04,97.1
38.59,42.98,47.37,44.54,41.71,39.84,37.97
47.56,44.06,40.56,30.07,19.58,21.72,23.87
64.82,60.36,55.91,56.9,57.88,54.74,51.59
6.24,14.31,22.38,24.08,25.79,22.81,19.83
19.9,17.54,15.19,13.54,11.88,15.86,19.83
13.5,18.45,23.4,22.78,22.16,30.06,37.97
86.72,87.18,87.65,87.62,87.58,88.5,89.43
43.23,45.56,47.88,51.8,55.71,56.54,57.38
77.43,79.32,81.22,82.6,83.99,83.43,82.88
33.91,45.96,58.01,57.94,57.88,57.63,57.38
75.04,72.19,69.34,61.92,54.5,60.86,67.22
61.86,66.59,71.31,72.19,73.07,72.96,72.85
38.62,26.78,14.93,15.02,15.12,28.09,41.06
65.55,62.48,59.41,55.11,50.81,45.94,41.06
70.93,68.91,66.89,67.16,67.43,70.71,74.0
79.37,79.32,79.27,79.35,79.43,83.11,86.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.15,57.12,55.08,56.48,57.88,60.59,63.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.41,1.7,0.0,0.0,0.0,0.0,0.0
75.87,74.02,72.17,71.41,70.65,65.58,60.5
8.95,5.81,2.67,8.18,13.69,15.88,18.08
25.82,19.18,12.54,15.04,17.54,21.6,25.65
28.97,27.64,26.3,26.04,25.79,26.39,26.99
69.88,70.17,70.46,70.18,69.91,69.22,68.52
81.38,83.51,85.64,84.38,83.13,86.8,90.48
28.46,33.2,37.95,31.87,25.79,24.83,23.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.04,81.86,83.67,84.72,85.77,82.52,79.28
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.02,8.2,8.37,6.94,5.51,6.29,7.07
87.52,87.84,88.16,88.22,88.28,88.62,88.96
43.65,35.48,27.32,18.83,10.35,10.19,10.03
56.06,52.22,48.39,50.2,52.02,57.26,62.51
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.06,18.12,16.62,15.12,15.48,15.85
68.67,66.17,63.67,68.58,73.48,62.06,50.64
0.0,0.0,0.0,0.0,0.0,2.9,5.79
34.86,31.55,28.24,17.58,6.91,25.46,44.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.61,48.5,50.4,47.44,44.48,40.35,36.22
47.53,56.02,64.5,65.52,66.54,75.7,84.85
48.55,53.58,58.61,54.71,50.81,43.52,36.22
53.17,46.24,39.32,31.74,24.16,30.19,36.22
6.34,7.14,7.93,6.72,5.51,5.65,5.79
58.77,51.53,44.29,40.06,35.82,35.26,34.69
84.62,83.81,83.0,84.51,86.02,86.52,87.01
28.49,30.21,31.93,31.96,32.0,27.94,23.87
4.33,10.81,17.29,19.72,22.16,20.12,18.08
54.5,58.44,62.37,61.91,61.45,57.04,52.64
88.67,85.78,82.9,81.38,79.85,81.2,82.56
16.97,32.44,47.91,41.86,35.82,36.9,37.97
45.46,45.18,44.89,49.11,53.33,56.36,59.39
21.71,18.16,14.61,7.31,0.0,0.0,0.0
41.01,42.14,43.27,28.48,13.69,6.84,0.0
80.26,80.78,81.31,81.8,82.3,82.8,83.29
72.49,69.86,67.24,65.61,63.99,65.8,67.6
32.09,33.19,34.29,28.22,22.16,26.55,30.94
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.79,21.03,26.27,13.14,0.0,0.0,0.0
58.33,54.86,51.38,49.7,48.01,42.99,37.97
89.08,89.98,90.89,91.4,91.91,86.88,81.86
44.22,46.86,49.51,41.71,33.91,24.88,15.85
8.69,22.19,35.69,36.47,37.25,41.35,45.45
77.68,79.22,80.77,83.27,85.77,85.68,85.58
35.08,32.04,29.0,33.12,37.25,30.56,23.87
25.98,21.76,17.54,19.85,22.16,24.57,26.99
62.21,55.36,48.52,49.67,50.81,53.02,55.22
36.55,39.3,42.06,33.11,24.16,18.81,13.46
43.58,38.44,33.3,28.73,24.16,22.0,19.83
70.77,67.33,63.9,63.95,63.99,56.55,49.11
65.2,59.12,53.04,63.05,73.07,78.72,84.37
21.14,15.93,10.73,12.92,15.12,15.48,15.85
38.08,37.4,36.71,36.26,35.82,32.46,29.09
64.28,62.9,61.51,59.7,57.88,61.02,64.16
41.32,49.82,58.33,47.79,37.25,41.35,45.45
91.44,90.08,88.73,88.82,88.92,88.1,87.27
