2014 SVI No Vehicle Data and Encoding,2015 SVI No Vehicle Data and Encoding,2016 SVI No Vehicle Data and Encoding,2017 SVI No Vehicle Data and Encoding,2018 SVI No Vehicle Data and Encoding,2019 SVI No Vehicle Data and Encoding,2020 SVI No Vehicle Data and Encoding
62.97,38.51,14.04,19.12,24.2,35.92,47.64
89.49,90.42,91.34,91.15,90.96,91.24,91.53
89.78,88.74,87.71,87.01,86.31,87.24,88.16
90.29,92.82,95.35,95.67,95.99,94.28,92.58
75.96,74.4,72.84,72.54,72.24,76.4,80.55
77.17,73.26,69.34,70.79,72.24,66.55,60.85
61.76,61.65,61.54,64.28,67.02,67.1,67.19
67.53,62.77,58.01,60.62,63.23,69.98,76.73
49.32,36.36,23.4,24.51,25.63,20.83,16.04
87.71,88.97,90.23,91.42,92.61,88.98,85.36
12.0,18.48,24.96,30.34,35.72,33.14,30.55
98.98,98.95,98.92,98.24,97.55,97.04,96.53
94.91,94.51,94.11,93.57,93.03,94.78,96.53
90.13,90.88,91.63,92.84,94.05,90.04,86.03
98.95,98.96,98.98,99.03,99.08,99.02,98.95
83.41,84.06,84.72,85.78,86.85,85.77,84.69
12.0,10.36,8.72,28.59,48.46,44.74,41.02
88.92,86.34,83.76,78.57,73.38,70.98,68.59
79.59,82.16,84.72,87.06,89.4,90.46,91.53
96.85,94.1,91.34,75.2,59.06,74.82,90.58
83.86,84.29,84.72,76.5,68.29,68.88,69.48
73.0,76.36,79.72,79.64,79.56,74.08,68.59
45.88,55.06,64.25,64.25,64.25,67.5,70.75
27.98,30.48,32.98,29.97,26.97,24.14,21.32
78.83,86.12,93.41,91.16,88.92,86.18,83.45
69.79,75.25,80.71,85.06,89.4,91.14,92.87
83.41,80.0,76.6,72.45,68.29,47.91,27.53
93.09,93.25,93.41,92.07,90.74,88.62,86.51
73.0,68.62,64.25,59.33,54.41,57.63,60.85
88.38,83.59,78.8,78.37,77.94,85.9,93.86
15.79,15.49,15.19,15.46,15.73,21.63,27.53
65.97,62.91,59.85,62.05,64.25,58.24,52.23
98.28,98.39,98.5,98.17,97.84,97.86,97.87
74.12,68.54,62.97,74.34,85.71,87.9,90.1
71.89,68.88,65.87,68.49,71.12,56.07,41.02
54.6,61.34,68.07,66.16,64.25,76.51,88.77
23.62,24.29,24.96,42.01,59.06,65.99,72.92
91.09,89.15,87.2,87.33,87.46,84.0,80.55
82.23,79.82,77.4,75.39,73.38,80.44,87.49
54.6,58.07,61.54,64.28,67.02,44.82,22.63
52.98,37.52,22.06,20.88,19.71,13.45,7.19
17.13,26.7,36.26,35.03,33.81,32.18,30.55
60.17,61.57,62.97,63.61,64.25,77.64,91.02
92.87,91.16,89.46,89.19,88.92,87.96,87.01
75.17,75.89,76.6,81.16,85.71,84.58,83.45
81.12,79.26,77.4,75.94,74.47,71.53,68.59
45.88,43.88,41.87,48.14,54.41,69.22,84.02
67.53,67.29,67.05,61.65,56.26,52.75,49.24
75.96,78.74,81.53,80.54,79.56,78.6,77.63
51.29,58.58,65.87,62.46,59.06,57.0,54.93
4.78,9.98,15.19,22.66,30.12,41.88,53.63
62.97,62.97,62.97,61.02,59.06,50.93,42.81
82.23,81.47,80.71,81.09,81.47,76.55,71.64
55.78,54.58,53.39,65.66,77.94,73.26,68.59
65.97,63.76,61.54,59.71,57.88,40.92,23.97
61.76,71.65,81.53,83.41,85.29,78.02,70.75
45.88,47.32,48.77,46.56,44.35,46.79,49.24
84.59,83.27,81.95,83.24,84.53,83.0,81.48
40.18,41.02,41.87,43.11,44.35,46.79,49.24
89.78,91.39,93.0,91.62,90.23,86.84,83.45
20.73,19.14,17.54,18.07,18.59,19.23,19.86
75.96,76.68,77.4,76.19,74.98,76.67,78.36
10.16,16.11,22.06,16.14,10.22,9.8,9.39
47.63,57.34,67.05,63.05,59.06,57.79,56.52
20.73,22.84,24.96,27.54,30.12,28.82,27.53
32.73,31.06,29.39,39.7,50.02,45.52,41.02
15.79,14.2,12.61,14.17,15.73,14.68,13.62
89.78,88.49,87.2,90.24,93.28,91.4,89.53
32.73,33.73,34.73,29.46,24.2,24.08,23.97
75.96,74.92,73.89,68.56,63.23,60.68,58.12
26.52,29.75,32.98,35.07,37.15,33.85,30.55
10.73,12.38,14.04,15.57,17.1,19.21,21.32
89.78,92.12,94.46,95.02,95.57,93.95,92.33
71.89,73.32,74.75,74.87,74.98,75.49,76.0
88.38,86.55,84.72,84.32,83.92,85.7,87.49
3.88,5.87,7.86,11.22,14.58,13.58,12.57
44.51,43.19,41.87,35.99,30.12,32.12,34.12
90.29,92.86,95.42,95.32,95.22,90.62,86.03
58.87,52.12,45.37,39.59,33.81,54.57,75.33
81.12,79.96,78.8,79.53,80.26,81.49,82.72
71.89,69.47,67.05,73.3,79.56,80.05,80.55
52.98,60.53,68.07,62.17,56.26,57.84,59.42
99.43,99.42,99.4,99.4,99.4,99.38,99.36
45.88,45.62,45.37,41.26,37.15,35.64,34.12
91.09,89.78,88.48,88.7,88.92,87.96,87.01
91.66,92.54,93.41,93.22,93.03,92.44,91.85
12.0,8.1,4.2,6.7,9.2,12.03,14.86
92.2,92.48,92.77,93.02,93.28,93.4,93.51
62.97,62.97,62.97,65.63,68.29,73.32,78.36
97.71,97.36,97.01,97.17,97.33,97.28,97.23
74.12,75.76,77.4,78.83,80.26,78.5,76.73
91.37,91.5,91.63,92.12,92.61,92.94,93.28
38.2,58.5,78.8,69.62,60.43,67.15,73.87
86.47,86.28,86.09,86.78,87.46,87.81,88.16
60.17,57.56,54.95,54.68,54.41,56.27,58.12
99.59,99.59,99.59,99.59,99.59,99.57,99.55
83.86,83.81,83.76,85.3,86.85,87.17,87.49
22.03,19.78,17.54,19.34,21.14,18.0,14.86
49.32,51.36,53.39,58.31,63.23,67.44,71.64
18.08,18.58,19.07,22.35,25.63,23.48,21.32
78.83,75.84,72.84,73.66,74.47,74.9,75.33
12.0,14.77,17.54,18.07,18.59,23.06,27.53
58.87,56.13,53.39,51.7,50.02,61.95,73.87
61.76,49.95,38.14,48.6,59.06,58.59,58.12
24.99,28.98,32.98,23.78,14.58,12.43,10.28
79.59,79.2,78.8,78.74,78.67,75.16,71.64
23.62,20.58,17.54,16.63,15.73,17.79,19.86
82.84,82.79,82.74,81.5,80.26,81.49,82.72
65.97,64.47,62.97,63.61,64.25,62.55,60.85
75.96,78.74,81.53,82.72,83.92,82.23,80.55
24.99,24.98,24.96,25.96,26.97,28.03,29.09
45.88,50.42,54.95,49.65,44.35,47.44,50.54
42.38,46.36,50.33,44.62,38.9,39.96,41.02
79.59,76.74,73.89,79.21,84.53,87.78,91.02
80.32,80.02,79.72,79.64,79.56,80.05,80.55
6.08,6.97,7.86,7.56,7.26,8.77,10.28
54.6,59.42,64.25,57.14,50.02,58.6,67.19
81.12,79.96,78.8,79.18,79.56,83.52,87.49
38.2,52.62,67.05,69.08,71.12,70.94,70.75
38.2,39.03,39.86,39.38,38.9,36.51,34.12
26.52,35.05,43.58,48.26,52.94,50.29,47.64
85.23,84.98,84.72,84.62,84.53,84.28,84.02
57.15,66.51,75.87,76.36,76.85,73.8,70.75
89.78,91.45,93.12,92.26,91.4,91.86,92.33
36.52,32.07,27.63,33.26,38.9,46.26,53.63
69.79,66.38,62.97,63.1,63.23,58.43,53.63
60.17,66.0,71.82,72.6,73.38,72.06,70.75
73.0,78.62,84.24,86.06,87.87,89.44,91.02
51.29,47.44,43.58,49.92,56.26,52.75,49.24
82.84,82.79,82.74,84.02,85.29,85.66,86.03
42.38,43.88,45.37,43.81,42.25,45.74,49.24
45.88,51.94,58.01,58.54,59.06,62.31,65.56
68.64,71.26,73.89,71.09,68.29,68.88,69.48
57.15,60.06,62.97,63.1,63.23,67.44,71.64
77.94,77.27,76.6,74.99,73.38,71.43,69.48
73.0,74.8,76.6,77.27,77.94,76.97,76.0
60.17,48.22,36.26,36.7,37.15,34.8,32.46
74.12,73.48,72.84,71.43,70.01,70.38,70.75
31.36,24.45,17.54,15.41,13.28,12.34,11.39
73.0,67.27,61.54,70.1,78.67,82.84,87.01
36.52,37.33,38.14,37.65,37.15,31.45,25.75
10.16,9.95,9.74,10.92,12.1,12.86,13.62
45.88,42.01,38.14,41.24,44.35,45.2,46.05
6.08,7.4,8.72,10.41,12.1,12.34,12.57
40.18,55.34,70.49,71.36,72.24,69.72,67.19
93.82,95.52,97.23,97.76,98.28,98.02,97.77
61.76,61.65,61.54,58.9,56.26,56.39,56.52
71.89,67.43,62.97,67.04,71.12,62.38,53.63
49.32,52.89,56.45,55.43,54.41,52.48,50.54
65.97,61.99,58.01,54.72,51.42,60.45,69.48
71.06,71.44,71.82,68.73,65.65,63.25,60.85
61.76,68.82,75.87,76.36,76.85,80.15,83.45
31.36,34.75,38.14,47.2,56.26,56.39,56.52
32.73,30.18,27.63,22.36,17.1,17.83,18.56
34.8,36.47,38.14,43.3,48.46,48.05,47.64
52.98,52.46,51.93,55.5,59.06,59.24,59.42
42.38,47.88,53.39,40.92,28.46,46.28,64.1
86.47,86.01,85.55,81.2,76.85,76.09,75.33
42.38,35.88,29.39,30.7,32.0,28.88,25.75
45.88,45.62,45.37,44.86,44.35,47.44,50.54
29.74,30.52,31.3,37.82,44.35,45.2,46.05
58.87,62.96,67.05,64.52,61.99,54.02,46.05
51.29,61.56,71.82,68.73,65.65,58.94,52.23
79.59,80.15,80.71,79.69,78.67,76.27,73.87
68.64,71.26,73.89,74.18,74.47,80.74,87.01
71.06,67.02,62.97,57.19,51.42,59.31,67.19
22.03,24.16,26.3,26.64,26.97,25.47,23.97
17.13,21.72,26.3,23.0,19.71,30.36,41.02
54.6,59.42,64.25,67.13,70.01,79.09,88.16
82.84,84.2,85.55,86.2,86.85,86.1,85.36
67.53,70.71,73.89,68.56,63.23,59.08,54.93
62.97,69.42,75.87,77.72,79.56,80.05,80.55
49.32,49.82,50.33,53.3,56.26,55.59,54.93
77.94,75.39,72.84,75.76,78.67,74.08,69.48
61.76,59.1,56.45,51.61,46.77,49.5,52.23
34.8,34.76,34.73,36.82,38.9,35.68,32.46
49.32,49.04,48.77,49.4,50.02,48.83,47.64
82.23,81.47,80.71,81.36,82.01,80.95,79.89
97.42,97.47,97.52,97.62,97.71,97.38,97.04
71.06,65.46,59.85,60.14,60.43,53.24,46.05
54.6,49.98,45.37,47.7,50.02,44.68,39.34
34.8,33.89,32.98,30.72,28.46,28.78,29.09
57.15,54.54,51.93,50.97,50.02,40.28,30.55
64.34,66.84,69.34,72.59,75.84,79.93,84.02
75.96,77.38,78.8,76.09,73.38,65.75,58.12
75.17,79.94,84.72,79.85,74.98,67.2,59.42
58.87,63.47,68.07,66.86,65.65,63.25,60.85
36.52,36.39,36.26,36.7,37.15,31.45,25.75
42.38,40.26,38.14,36.93,35.72,28.52,21.32
17.13,17.34,17.54,17.32,17.1,23.83,30.55
49.32,49.04,48.77,46.56,44.35,41.84,39.34
40.18,29.62,19.07,31.71,44.35,51.24,58.12
36.52,38.19,39.86,33.42,26.97,24.8,22.63
55.78,56.12,56.45,61.05,65.65,69.76,73.87
71.89,71.86,71.82,76.64,81.47,85.5,89.53
55.78,50.57,45.37,62.82,80.26,72.91,65.56
69.79,55.83,41.87,35.99,30.12,41.88,53.63
64.34,60.4,56.45,52.46,48.46,48.05,47.64
24.99,24.2,23.4,23.8,24.2,26.64,29.09
10.16,8.18,6.21,7.71,9.2,9.74,10.28
44.51,39.62,34.73,34.27,33.81,46.61,59.42
34.8,39.19,43.58,43.96,44.35,46.0,47.64
74.12,69.99,65.87,61.87,57.88,55.06,52.23
65.97,60.46,54.95,53.18,51.42,56.14,60.85
57.15,46.7,36.26,40.3,44.35,49.64,54.93
8.44,12.99,17.54,20.87,24.2,24.98,25.75
90.83,90.53,90.23,90.6,90.96,89.86,88.77
40.18,40.02,39.86,33.42,26.97,26.36,25.75
13.34,17.7,22.06,23.13,24.2,29.96,35.71
13.34,12.97,12.61,19.79,26.97,23.42,19.86
51.29,47.44,43.58,43.96,44.35,45.2,46.05
34.8,32.1,29.39,20.74,12.1,11.19,10.28
54.6,45.43,36.26,30.23,24.2,26.64,29.09
65.97,61.21,56.45,46.8,37.15,38.25,39.34
26.52,27.96,29.39,34.15,38.9,34.72,30.55
75.17,69.07,62.97,61.7,60.43,69.82,79.22
22.03,20.55,19.07,24.6,30.12,31.29,32.46
65.97,60.46,54.95,58.47,61.99,54.02,46.05
14.65,24.69,34.73,19.88,5.03,8.21,11.39
14.65,19.02,23.4,21.56,19.71,15.55,11.39
10.73,13.48,16.24,15.98,15.73,14.68,13.62
55.78,49.68,43.58,48.26,52.94,58.52,64.1
19.33,17.78,16.24,23.18,30.12,32.92,35.71
94.05,89.38,84.72,84.32,83.92,84.64,85.36
23.62,25.62,27.63,26.63,25.63,29.04,32.46
75.17,74.53,73.89,59.12,44.35,45.2,46.05
23.62,25.62,27.63,38.04,48.46,43.1,37.75
58.87,56.91,54.95,60.3,65.65,62.54,59.42
57.15,60.7,64.25,61.65,59.06,58.59,58.12
69.79,69.56,69.34,72.16,74.98,75.86,76.73
18.08,20.74,23.4,24.51,25.63,34.92,44.21
24.99,36.17,47.34,57.18,67.02,65.56,64.1
47.63,46.5,45.37,59.92,74.47,73.69,72.92
32.73,27.39,22.06,29.6,37.15,45.39,53.63
55.78,60.01,64.25,61.65,59.06,59.24,59.42
51.29,52.34,53.39,51.7,50.02,48.04,46.05
65.97,61.21,56.45,67.2,77.94,72.56,67.19
51.29,46.58,41.87,40.39,38.9,49.16,59.42
62.97,51.42,39.86,55.49,71.12,69.16,67.19
73.0,67.27,61.54,65.77,70.01,64.71,59.42
42.38,37.68,32.98,24.36,15.73,13.0,10.28
93.35,92.66,91.98,92.18,92.39,91.7,91.02
71.89,76.71,81.53,60.22,38.9,44.07,49.24
29.74,31.36,32.98,39.88,46.77,44.79,42.81
34.8,37.33,39.86,43.32,46.77,59.2,71.64
58.87,61.56,64.25,64.95,65.65,50.68,35.71
47.63,28.68,9.74,7.64,5.54,15.65,25.75
45.88,38.59,31.3,30.71,30.12,39.68,49.24
88.03,87.06,86.09,85.31,84.53,84.28,84.02
12.0,11.88,11.75,12.51,13.28,10.84,8.4
9.36,8.61,7.86,9.04,10.22,15.77,21.32
27.98,23.52,19.07,17.4,15.73,25.72,35.71
52.98,51.66,50.33,46.29,42.25,41.64,41.02
71.89,65.87,59.85,64.07,68.29,70.6,72.92
62.97,56.65,50.33,60.17,70.01,59.62,49.24
40.18,45.26,50.33,51.64,52.94,54.73,56.52
51.29,45.58,39.86,41.06,42.25,43.23,44.21
20.73,34.75,48.77,53.32,57.88,66.94,76.0
18.08,18.58,19.07,18.83,18.59,28.97,39.34
64.34,72.03,79.72,62.04,44.35,65.68,87.01
38.2,40.89,43.58,36.85,30.12,28.82,27.53
10.73,10.24,9.74,12.16,14.58,17.95,21.32
52.98,41.18,29.39,26.8,24.2,34.2,44.21
75.17,75.89,76.6,72.45,68.29,50.37,32.46
75.17,76.76,78.35,78.51,78.67,75.16,71.64
10.16,13.2,16.24,16.67,17.1,13.24,9.39
18.08,22.85,27.63,32.39,37.15,43.84,50.54
83.41,83.32,83.22,83.88,84.53,89.42,94.3
52.98,48.28,43.58,33.89,24.2,41.81,59.42
74.12,60.73,47.34,59.79,72.24,81.17,90.1
87.3,87.89,88.48,89.94,91.4,92.46,93.51
69.79,42.49,15.19,13.65,12.1,24.92,37.75
96.05,96.02,95.99,96.32,96.66,95.26,93.86
86.47,87.72,88.98,86.45,83.92,81.9,79.89
12.0,13.6,15.19,23.6,32.0,30.54,29.09
87.3,87.5,87.71,87.28,86.85,87.51,88.16
93.09,90.79,88.48,82.16,75.84,60.95,46.05
95.64,88.8,81.95,86.96,91.98,90.76,89.53
77.17,73.83,70.49,59.48,48.46,53.29,58.12
88.03,87.4,86.76,81.3,75.84,81.18,86.51
97.71,97.3,96.88,96.69,96.5,96.52,96.53
86.47,83.1,79.72,76.55,73.38,78.05,82.72
54.6,60.23,65.87,45.75,25.63,35.84,46.05
5.48,7.61,9.74,9.98,10.22,9.31,8.4
80.32,78.86,77.4,76.19,74.98,77.76,80.55
26.52,40.74,54.95,37.33,19.71,17.88,16.04
45.88,29.24,12.61,25.76,38.9,48.51,58.12
40.18,41.88,43.58,26.06,8.53,20.5,32.46
75.96,73.23,70.49,75.02,79.56,81.79,84.02
17.13,19.6,22.06,35.26,48.46,57.01,65.56
32.73,40.03,47.34,53.88,60.43,58.48,56.52
74.12,77.42,80.71,78.78,76.85,74.24,71.64
97.04,95.58,94.11,94.66,95.22,96.67,98.12
97.29,97.68,98.06,98.09,98.12,98.31,98.5
98.5,98.56,98.63,97.98,97.33,97.7,98.06
7.7,10.87,14.04,16.88,19.71,20.52,21.32
22.03,25.71,29.39,25.26,21.14,23.44,25.75
75.96,57.05,38.14,47.2,56.26,65.8,75.33
97.17,97.56,97.96,97.07,96.18,90.1,84.02
95.86,93.04,90.23,88.27,86.31,70.62,54.93
58.87,57.66,56.45,54.7,52.94,54.73,56.52
90.83,91.4,91.98,93.28,94.59,89.64,84.69
23.62,21.34,19.07,25.54,32.0,42.12,52.23
26.52,27.08,27.63,32.39,37.15,41.6,46.05
73.0,78.86,84.72,83.78,82.84,84.68,86.51
58.87,60.2,61.54,48.63,35.72,32.4,29.09
73.0,76.36,79.72,82.12,84.53,87.03,89.53
40.18,43.76,47.34,51.8,56.26,55.59,54.93
96.72,97.04,97.36,97.28,97.2,96.86,96.53
22.03,23.49,24.96,41.42,57.88,46.79,35.71
80.32,77.1,73.89,70.46,67.02,69.33,71.64
26.52,23.45,20.38,15.3,10.22,13.83,17.44
80.32,78.86,77.4,78.04,78.67,78.15,77.63
49.32,46.45,43.58,42.92,42.25,30.4,18.56
77.94,76.34,74.75,68.37,61.99,57.81,53.63
82.84,79.36,75.87,66.06,56.26,54.24,52.23
47.63,51.29,54.95,67.26,79.56,86.22,92.87
57.15,61.51,65.87,57.16,48.46,51.7,54.93
97.04,97.42,97.8,96.99,96.18,95.02,93.86
60.17,59.09,58.01,57.14,56.26,58.56,60.85
85.86,78.84,71.82,66.9,61.99,60.7,59.42
62.97,56.65,50.33,37.26,24.2,19.53,14.86
29.74,42.34,54.95,54.68,54.41,42.48,30.55
94.05,93.9,93.76,89.15,84.53,70.53,56.52
27.98,28.68,29.39,40.4,51.42,53.97,56.52
64.34,48.66,32.98,53.18,73.38,72.51,71.64
95.86,93.6,91.34,94.44,97.55,97.96,98.38
8.44,7.74,7.04,5.44,3.85,3.76,3.66
93.35,94.7,96.05,95.24,94.43,93.86,93.28
98.31,98.06,97.8,97.93,98.06,97.01,95.96
61.76,65.55,69.34,71.36,73.38,58.79,44.21
64.34,71.57,78.8,60.53,42.25,52.48,62.7
15.79,16.67,17.54,14.82,12.1,32.16,52.23
95.38,93.82,92.26,93.74,95.22,94.89,94.56
96.05,93.34,90.64,91.62,92.61,94.22,95.83
19.33,37.14,54.95,47.88,40.82,26.1,11.39
64.34,62.94,61.54,51.9,42.25,41.64,41.02
64.34,45.98,27.63,39.52,51.42,40.25,29.09
85.86,90.38,94.91,91.39,87.87,91.52,95.16
36.52,38.19,39.86,43.32,46.77,37.15,27.53
38.2,39.03,39.86,44.16,48.46,51.7,54.93
77.94,76.9,75.87,75.86,75.84,77.53,79.22
97.58,97.23,96.88,97.04,97.2,97.44,97.68
49.32,49.04,48.77,52.52,56.26,68.4,80.55
75.96,63.15,50.33,46.29,42.25,48.59,54.93
96.31,96.42,96.53,95.48,94.43,89.56,84.69
92.2,90.18,88.16,84.82,81.47,80.34,79.22
80.32,77.54,74.75,74.06,73.38,69.47,65.56
96.53,94.77,93.0,88.76,84.53,86.34,88.16
84.59,83.27,81.95,78.9,75.84,74.86,73.87
19.33,12.77,6.21,12.96,19.71,21.84,23.97
47.63,52.82,58.01,54.01,50.02,43.88,37.75
62.97,64.42,65.87,66.44,67.02,56.54,46.05
14.65,18.36,22.06,27.03,32.0,26.66,21.32
64.34,75.77,87.2,86.24,85.29,82.59,79.89
60.17,48.22,36.26,36.7,37.15,53.32,69.48
60.17,56.05,51.93,57.58,63.23,63.66,64.1
31.36,34.75,38.14,36.93,35.72,46.92,58.12
42.38,47.16,51.93,53.17,54.41,55.47,56.52
87.3,86.01,84.72,85.52,86.31,87.92,89.53
71.89,76.92,81.95,79.4,76.85,78.04,79.22
23.62,22.84,22.06,46.03,70.01,70.82,71.64
29.74,34.8,39.86,40.34,40.82,27.22,13.62
14.65,16.1,17.54,15.41,13.28,12.34,11.39
64.34,60.4,56.45,57.76,59.06,51.64,44.21
74.12,76.92,79.72,84.78,89.84,78.52,67.19
91.95,90.7,89.46,89.19,88.92,88.2,87.49
10.73,12.38,14.04,13.07,12.1,14.77,17.44
29.74,24.4,19.07,36.0,52.94,65.28,77.63
42.38,33.67,24.96,22.34,19.71,28.73,37.75
12.0,10.87,9.74,8.78,7.83,6.48,5.12
27.98,32.12,36.26,58.26,80.26,80.4,80.55
15.79,17.43,19.07,22.35,25.63,27.36,29.09
10.73,11.67,12.61,12.35,12.1,21.32,30.55
60.17,60.85,61.54,63.6,65.65,67.12,68.59
44.51,34.74,24.96,35.86,46.77,47.2,47.64
55.78,42.58,29.39,25.26,21.14,36.68,52.23
23.62,24.29,24.96,23.72,22.48,34.26,46.05
57.15,65.52,73.89,65.07,56.26,51.95,47.64
73.0,71.74,70.49,75.37,80.26,81.25,82.24
62.97,52.42,41.87,53.06,64.25,53.53,42.81
65.97,70.36,74.75,70.88,67.02,59.62,52.23
13.34,14.26,15.19,14.24,13.28,9.2,5.12
91.09,89.62,88.16,89.2,90.23,90.4,90.58
38.2,38.17,38.14,35.98,33.81,26.83,19.86
32.73,29.52,26.3,23.0,19.71,24.4,29.09
36.52,30.74,24.96,39.68,54.41,45.06,35.71
57.15,57.58,58.01,62.52,67.02,69.97,72.92
85.86,86.78,87.71,84.86,82.01,88.68,95.35
17.13,20.26,23.4,32.11,40.82,56.23,71.64
40.18,42.78,45.37,54.81,64.25,65.72,67.19
26.52,34.2,41.87,31.5,21.14,14.16,7.19
57.15,69.55,81.95,81.98,82.01,62.41,42.81
69.79,51.38,32.98,23.13,13.28,12.92,12.57
75.96,66.98,58.01,64.57,71.12,71.38,71.64
87.71,89.52,91.34,86.4,81.47,78.4,75.33
88.03,87.62,87.2,86.46,85.71,84.58,83.45
62.97,58.18,53.39,56.22,59.06,59.96,60.85
24.99,25.64,26.3,21.02,15.73,15.3,14.86
29.74,40.84,51.93,50.2,48.46,46.34,44.21
61.76,57.58,53.39,50.08,46.77,26.3,5.82
54.6,57.22,59.85,54.94,50.02,57.06,64.1
45.88,52.87,59.85,62.05,64.25,47.4,30.55
60.17,60.85,61.54,55.78,50.02,46.41,42.81
51.29,48.33,45.37,49.89,54.41,58.56,62.7
18.08,17.16,16.24,15.98,15.73,18.52,21.32
78.83,74.66,70.49,50.3,30.12,27.04,23.97
36.52,48.18,59.85,50.33,40.82,45.03,49.24
34.8,44.1,53.39,50.92,48.46,43.9,39.34
38.2,50.58,62.97,65.0,67.02,73.78,80.55
75.96,72.02,68.07,66.16,64.25,66.42,68.59
12.0,22.49,32.98,58.23,83.48,80.55,77.63
77.94,78.37,78.8,73.54,68.29,65.49,62.7
69.79,67.83,65.87,55.11,44.35,37.45,30.55
42.38,25.55,8.72,14.22,19.71,19.13,18.56
94.91,93.12,91.34,94.0,96.66,97.55,98.44
64.34,61.18,58.01,61.13,64.25,66.86,69.48
31.36,45.6,59.85,60.14,60.43,72.9,85.36
40.18,38.22,36.26,29.37,22.48,19.96,17.44
81.12,82.17,83.22,83.57,83.92,89.8,95.67
90.13,90.38,90.64,89.52,88.41,85.56,82.72
49.32,42.79,36.26,34.13,32.0,36.51,41.02
67.53,57.44,47.34,34.24,21.14,40.28,59.42
45.88,50.42,54.95,41.71,28.46,26.22,23.97
32.73,37.3,41.87,33.75,25.63,25.69,25.75
54.6,63.21,71.82,62.38,52.94,56.18,59.42
94.46,95.0,95.54,96.69,97.84,97.92,97.99
42.38,33.67,24.96,24.58,24.2,27.38,30.55
71.89,73.88,75.87,76.9,77.94,73.26,68.59
62.97,63.61,64.25,65.64,67.02,65.56,64.1
61.76,58.36,54.95,53.94,52.94,58.52,64.1
31.36,30.37,29.39,28.18,26.97,25.47,23.97
19.33,21.36,23.4,35.08,46.77,53.1,59.42
31.36,40.06,48.77,45.51,42.25,33.11,23.97
71.06,75.39,79.72,70.08,60.43,58.48,56.52
34.8,23.7,12.61,14.17,15.73,13.56,11.39
49.32,54.59,59.85,60.14,60.43,50.72,41.02
55.78,62.56,69.34,70.23,71.12,55.23,39.34
71.06,61.5,51.93,47.09,42.25,37.35,32.46
36.52,53.5,70.49,73.16,75.84,74.86,73.87
13.34,12.54,11.75,9.79,7.83,8.61,9.39
73.0,67.99,62.97,54.87,46.77,47.2,47.64
10.73,14.9,19.07,18.08,17.1,12.14,7.19
71.89,69.98,68.07,65.03,61.99,66.82,71.64
69.79,69.56,69.34,67.49,65.65,62.54,59.42
85.86,85.71,85.55,79.46,73.38,67.12,60.85
32.73,39.05,45.37,42.14,38.9,39.96,41.02
42.38,55.86,69.34,61.14,52.94,51.74,50.54
64.34,57.34,50.33,56.16,61.99,70.6,79.22
19.33,18.44,17.54,18.62,19.71,17.28,14.86
42.38,35.88,29.39,29.76,30.12,32.12,34.12
61.76,63.0,64.25,63.12,61.99,60.06,58.12
15.79,18.08,20.38,23.0,25.63,24.13,22.63
81.12,70.48,59.85,50.33,40.82,45.68,50.54
22.03,33.7,45.37,49.16,52.94,39.34,25.75
40.18,46.78,53.39,56.22,59.06,68.71,78.36
69.79,75.87,81.95,79.4,76.85,83.19,89.53
31.36,33.81,36.26,26.0,15.73,9.52,3.31
79.59,73.32,67.05,60.73,54.41,57.63,60.85
60.17,62.21,64.25,72.26,80.26,66.94,53.63
75.17,69.71,64.25,66.27,68.29,64.57,60.85
7.13,9.87,12.61,10.57,8.53,42.26,76.0
42.38,57.61,72.84,79.85,86.85,85.15,83.45
99.2,99.25,99.3,99.22,99.14,99.11,99.08
15.79,33.86,51.93,45.42,38.9,21.54,4.17
26.52,27.08,27.63,29.82,32.0,33.86,35.71
93.09,89.32,85.55,84.74,83.92,85.46,87.01
14.65,9.43,4.2,3.26,2.32,2.07,1.81
4.78,4.7,4.62,5.46,6.3,6.36,6.43
8.44,17.37,26.3,20.44,14.58,40.07,65.56
68.64,65.81,62.97,67.04,71.12,68.34,65.56
45.88,42.87,39.86,46.4,52.94,56.9,60.85
60.17,59.09,58.01,54.01,50.02,57.06,64.1
1.62,1.59,1.56,8.64,15.73,22.41,29.09
26.52,21.38,16.24,9.73,3.22,23.02,42.81
68.64,74.68,80.71,79.32,77.94,76.63,75.33
5.48,6.26,7.04,6.29,5.54,36.36,67.19
36.52,32.96,29.39,35.1,40.82,63.42,86.03
15.79,14.92,14.04,14.31,14.58,18.6,22.63
20.73,20.56,20.38,16.83,13.28,11.34,9.39
1.05,1.58,2.1,1.62,1.15,0.88,0.6
91.95,87.85,83.76,70.82,57.88,44.22,30.55
3.06,2.05,1.05,0.78,0.51,2.5,4.49
0.96,5.86,10.76,8.53,6.3,13.81,21.32
65.97,64.47,62.97,51.9,40.82,43.44,46.05
3.88,2.99,2.1,2.97,3.85,6.12,8.4
2.55,3.38,4.2,10.65,17.1,12.14,7.19
31.36,34.75,38.14,31.88,25.63,25.69,25.75
47.63,48.2,48.77,45.51,42.25,41.64,41.02
99.08,98.65,98.22,96.61,95.0,96.92,98.85
15.79,21.04,26.3,28.21,30.12,24.34,18.56
0.22,0.2,0.19,0.1,0.0,0.0,0.0
2.55,3.04,3.53,4.28,5.03,8.8,12.57
22.03,33.7,45.37,28.22,11.08,5.8,0.51
10.73,16.4,22.06,18.9,15.73,15.88,16.04
