2014 SVI Unemployed Data and Encoding,2015 SVI Unemployed Data and Encoding,2016 SVI Unemployed Data and Encoding,2017 SVI Unemployed Data and Encoding,2018 SVI Unemployed Data and Encoding,2019 SVI Unemployed Data and Encoding,2020 SVI Unemployed Data and Encoding
81.31,71.68,62.05,54.48,46.91,57.81,68.71
92.23,91.88,91.53,90.82,90.1,88.27,86.44
44.57,43.49,42.41,39.38,36.34,34.78,33.23
61.99,65.06,68.13,63.34,58.54,56.19,53.85
68.04,67.59,67.14,60.98,54.81,57.26,59.71
16.17,16.86,17.54,16.19,14.84,34.35,53.85
51.74,52.15,52.56,50.66,48.76,52.31,55.86
40.08,39.86,39.64,42.27,44.9,52.3,59.71
77.3,75.91,74.53,72.72,70.92,71.92,72.92
37.76,46.0,54.25,55.47,56.69,59.74,62.79
32.22,31.2,30.18,28.82,27.45,31.42,35.39
6.08,8.0,9.93,10.14,10.35,38.26,66.17
41.39,41.9,42.41,42.04,41.66,41.68,41.69
55.21,53.18,51.16,49.96,48.76,51.3,53.85
69.02,66.84,64.66,69.06,73.47,76.7,79.92
52.88,50.56,48.23,49.14,50.06,48.74,47.42
89.88,88.11,86.34,87.64,88.95,80.23,71.51
83.25,72.02,60.78,63.87,66.97,56.29,45.61
42.73,32.2,21.68,18.26,14.84,17.44,20.05
72.78,68.2,63.61,61.08,58.54,72.21,85.87
84.37,73.99,63.61,55.26,46.91,41.15,35.39
93.7,91.44,89.18,90.85,92.52,86.22,79.92
44.57,47.07,49.57,57.51,65.45,49.34,33.23
61.99,51.46,40.94,42.92,44.9,51.41,57.92
72.78,70.46,68.13,70.23,72.32,70.52,68.71
61.99,61.38,60.78,56.25,51.72,50.64,49.55
73.96,68.79,63.61,64.53,65.45,69.18,72.92
58.8,45.19,31.58,32.29,32.99,44.42,55.86
81.76,76.7,71.63,72.55,73.47,74.48,75.49
72.78,74.19,75.61,72.65,69.68,67.92,66.17
64.02,61.74,59.47,46.23,32.99,40.2,47.42
95.96,95.44,94.91,89.8,84.68,84.76,84.85
89.37,87.38,85.39,88.3,91.21,92.07,92.93
96.34,95.46,94.59,94.24,93.89,94.76,95.64
36.55,32.46,28.37,26.46,24.55,22.3,20.05
92.04,90.96,89.88,87.28,84.68,84.76,84.85
77.3,68.39,59.47,53.19,46.91,50.38,53.85
51.74,51.45,51.16,41.18,31.21,29.21,27.21
60.74,54.49,48.23,47.57,46.91,45.38,43.86
54.09,56.78,59.47,50.57,41.66,36.16,30.65
95.73,94.64,93.54,93.32,93.09,92.79,92.49
88.19,83.75,79.31,76.39,73.47,73.19,72.92
75.68,73.66,71.63,61.68,51.72,46.7,41.69
43.52,39.42,35.31,37.56,39.81,33.51,27.21
72.78,69.39,66.0,67.84,69.68,58.55,47.42
74.91,67.84,60.78,51.22,41.66,37.44,33.23
57.59,57.86,58.13,62.55,66.97,67.84,68.71
65.46,55.81,46.16,47.46,48.76,51.3,53.85
68.04,71.82,75.61,75.21,74.81,77.36,79.92
79.05,73.59,68.13,56.52,44.9,49.38,53.85
93.19,92.5,91.82,88.25,84.68,84.76,84.85
47.06,54.56,62.05,60.3,58.54,57.2,55.86
84.37,84.21,84.05,81.88,79.71,81.77,83.83
82.87,79.24,75.61,73.26,70.92,72.56,74.19
70.77,63.88,56.99,57.76,58.54,65.73,72.92
87.17,81.39,75.61,77.28,78.95,73.83,68.71
56.45,49.43,42.41,40.39,38.38,41.12,43.86
18.53,32.34,46.16,52.35,58.54,60.66,62.79
93.7,93.74,93.79,95.51,97.23,81.7,66.17
85.9,82.2,78.51,71.98,65.45,67.08,68.71
45.62,45.89,46.16,46.54,46.91,40.07,33.23
69.91,64.02,58.13,50.58,43.03,45.22,47.42
40.08,35.83,31.58,29.52,27.45,27.33,27.21
93.19,94.68,96.18,74.81,53.44,65.74,78.04
87.17,89.02,90.86,91.98,93.09,93.38,93.67
76.5,67.99,59.47,56.46,53.44,58.12,62.79
85.42,86.98,88.54,82.18,75.83,79.83,83.83
51.74,53.63,55.52,57.92,60.32,63.24,66.17
80.58,81.96,83.35,71.84,60.32,51.0,41.69
95.13,91.84,88.54,81.0,73.47,73.19,72.92
69.02,61.64,54.25,42.73,31.21,45.46,59.71
55.21,58.0,60.78,59.66,58.54,50.11,41.69
80.58,77.55,74.53,69.14,63.76,75.88,88.0
68.04,60.3,52.56,46.18,39.81,45.76,51.72
88.98,80.94,72.91,57.97,43.03,36.84,30.65
99.27,97.92,96.56,96.53,96.5,89.88,83.26
93.0,89.99,86.98,82.44,77.9,80.58,83.26
88.19,81.9,75.61,67.96,60.32,58.09,55.86
58.8,50.6,42.41,40.39,38.38,42.0,45.61
63.01,66.19,69.37,73.64,77.9,74.03,70.15
90.61,89.9,89.18,86.3,83.41,86.01,88.61
95.38,94.46,93.54,84.68,75.83,72.27,68.71
78.13,76.33,74.53,73.42,72.32,79.38,86.44
94.75,90.54,86.34,91.72,97.1,95.56,94.02
75.68,62.62,49.57,50.64,51.72,58.07,64.42
38.81,33.59,28.37,25.86,23.34,27.0,30.65
93.7,94.08,94.46,91.7,88.95,82.22,75.49
94.94,95.9,96.85,96.52,96.18,93.38,90.58
84.37,82.73,81.09,80.02,78.95,77.92,76.89
88.19,82.86,77.52,73.6,69.68,73.86,78.04
74.91,60.54,46.16,45.53,44.9,40.14,35.39
87.17,82.84,78.51,75.99,73.47,72.49,71.51
96.15,94.97,93.79,94.08,94.36,89.6,84.85
81.31,77.92,74.53,58.1,41.66,36.16,30.65
82.36,76.36,70.36,67.9,65.45,71.74,78.04
63.01,61.9,60.78,61.42,62.07,58.96,55.86
50.72,46.56,42.41,39.38,36.34,39.02,41.69
97.39,96.52,95.64,94.88,94.11,93.3,92.49
81.31,74.72,68.13,64.22,60.32,65.91,71.51
47.06,49.81,52.56,54.62,56.69,55.27,53.85
36.55,30.12,23.69,22.12,20.54,22.16,23.77
12.86,12.38,11.91,15.68,19.46,23.34,27.21
77.3,81.82,86.34,83.42,80.51,76.01,71.51
47.06,36.04,25.02,24.78,24.55,21.52,18.49
6.08,5.35,4.62,5.54,6.46,9.68,12.89
21.11,22.4,23.69,24.12,24.55,26.58,28.61
11.11,8.55,5.99,5.43,4.87,6.43,7.99
31.01,24.28,17.54,22.5,27.45,37.44,47.42
14.23,10.89,7.55,6.4,5.25,7.72,10.18
51.74,47.08,42.41,45.58,48.76,60.84,72.92
8.05,6.08,4.11,6.8,9.49,33.7,57.92
23.78,26.98,30.18,28.14,26.11,25.77,25.43
14.74,11.46,8.18,8.39,8.6,12.43,16.26
60.74,58.86,56.99,69.66,82.32,81.99,81.67
12.86,8.91,4.97,7.66,10.35,7.24,4.14
14.23,18.39,22.54,24.32,26.11,34.98,43.86
42.73,30.14,17.54,13.94,10.35,19.48,28.61
22.86,20.87,18.88,19.17,19.46,20.71,21.96
9.04,9.07,9.11,8.85,8.6,9.39,10.18
17.06,15.93,14.8,13.62,12.45,10.82,9.2
14.23,11.21,8.18,11.51,14.84,18.4,21.96
14.23,12.45,10.67,10.08,9.49,9.83,10.18
17.06,18.81,20.57,25.89,31.21,29.91,28.61
23.78,22.73,21.68,21.11,20.54,22.16,23.77
16.17,17.86,19.55,22.05,24.55,37.05,49.55
34.54,30.21,25.88,26.66,27.45,29.05,30.65
20.25,17.53,14.8,9.83,4.87,4.87,4.87
17.06,17.97,18.88,18.55,18.22,24.44,30.65
42.73,41.18,39.64,37.26,34.87,38.28,41.69
45.62,41.77,37.92,41.41,44.9,55.54,66.17
10.54,9.83,9.11,11.4,13.69,12.84,12.0
79.82,69.64,59.47,47.17,34.87,32.76,30.65
25.76,19.37,12.99,12.72,12.45,18.94,25.43
4.62,5.3,5.99,7.3,8.6,20.92,33.23
38.81,49.14,59.47,65.2,70.92,68.54,66.17
11.11,10.52,9.93,8.2,6.46,9.68,12.89
19.33,17.53,15.73,23.47,31.21,22.05,12.89
9.04,11.34,13.63,13.66,13.69,24.54,35.39
22.86,20.2,17.54,17.88,18.22,18.36,18.49
3.85,6.22,8.6,7.85,7.1,10.54,13.97
12.13,14.84,17.54,17.35,17.17,16.72,16.26
15.31,14.15,12.99,10.79,8.6,10.3,12.0
69.91,77.65,85.39,82.55,79.71,86.32,92.93
14.74,14.77,14.8,12.14,9.49,8.04,6.59
12.13,10.36,8.6,13.41,18.22,29.96,41.69
22.86,18.24,13.63,11.56,9.49,9.35,9.2
51.74,47.71,43.68,51.11,58.54,62.36,66.17
38.81,29.18,19.55,24.4,29.24,32.32,35.39
28.84,32.07,35.31,34.15,32.99,24.63,16.26
11.56,14.17,16.78,12.69,8.6,10.74,12.89
10.54,10.6,10.67,15.07,19.46,13.72,7.99
32.22,42.39,52.56,47.8,43.03,26.12,9.2
15.31,12.62,9.93,12.38,14.84,32.19,49.55
12.13,14.46,16.78,18.66,20.54,20.3,20.05
17.06,15.93,14.8,15.98,17.17,22.89,28.61
9.04,9.07,9.11,10.78,12.45,17.2,21.96
51.74,48.95,46.16,45.53,44.9,58.2,71.51
13.31,15.04,16.78,14.01,11.24,18.34,25.43
15.31,15.06,14.8,15.98,17.17,16.72,16.26
13.31,12.61,11.91,10.7,9.49,6.22,2.96
44.57,44.79,45.02,42.42,39.81,41.84,43.86
15.31,15.06,14.8,15.46,16.11,11.35,6.59
15.31,12.99,10.67,9.22,7.77,5.76,3.76
23.78,16.86,9.93,10.58,11.24,12.6,13.97
26.81,22.18,17.54,19.04,20.54,37.2,53.85
10.09,6.93,3.76,4.04,4.33,4.6,4.87
7.04,5.4,3.76,6.18,8.6,22.0,35.39
44.57,39.94,35.31,37.56,39.81,44.68,49.55
18.53,16.66,14.8,15.46,16.11,15.6,15.09
25.76,20.74,15.73,14.71,13.69,11.44,9.2
28.02,22.4,16.78,13.56,10.35,12.16,13.97
26.81,24.68,22.54,28.7,34.87,42.21,49.55
28.84,23.19,17.54,21.82,26.11,25.77,25.43
12.13,9.84,7.55,7.0,6.46,7.83,9.2
11.11,10.11,9.11,9.73,10.35,14.42,18.49
26.81,22.18,17.54,15.0,12.45,23.92,35.39
4.27,11.58,18.88,15.06,11.24,26.46,41.69
14.74,12.34,9.93,12.38,14.84,20.14,25.43
17.77,22.48,27.19,34.42,41.66,60.38,79.09
18.53,20.1,21.68,20.57,19.46,21.62,23.77
19.33,17.07,14.8,14.24,13.69,14.98,16.26
11.11,8.55,5.99,7.3,8.6,14.32,20.05
5.7,4.6,3.5,3.07,2.64,22.17,41.69
48.2,41.21,34.22,28.05,21.88,20.18,18.49
20.25,19.56,18.88,16.86,14.84,13.42,12.0
7.48,7.83,8.18,10.32,12.45,9.04,5.63
76.5,80.94,85.39,89.54,93.69,93.68,93.67
74.91,68.48,62.05,75.28,88.5,80.71,72.92
93.98,90.99,88.0,86.34,84.68,83.6,82.53
92.23,91.88,91.53,93.2,94.87,89.35,83.83
96.47,96.52,96.56,91.92,87.29,49.24,11.2
97.13,97.21,97.29,96.08,94.87,89.86,84.85
71.89,77.24,82.59,79.21,75.83,49.8,23.77
87.68,81.64,75.61,84.35,93.09,89.96,86.82
86.66,88.27,89.88,72.34,54.81,41.01,27.21
95.38,95.68,95.99,92.47,88.95,91.72,94.49
98.15,98.87,99.59,99.26,98.92,98.03,97.14
85.9,86.95,88.0,86.34,84.68,80.09,75.49
97.96,97.26,96.56,96.37,96.18,93.94,91.69
98.95,99.28,99.62,99.58,99.55,98.82,98.09
95.61,96.62,97.64,96.4,95.16,90.0,84.85
86.66,91.23,95.8,94.64,93.47,77.45,61.43
48.2,48.22,48.23,51.52,54.81,49.34,43.86
91.05,92.82,94.59,94.24,93.89,88.86,83.83
82.87,83.81,84.75,75.1,65.45,36.02,6.59
69.02,71.78,74.53,82.87,91.21,94.88,98.54
91.72,89.35,86.98,88.76,90.54,95.06,99.59
78.13,79.93,81.73,77.03,72.32,65.12,57.92
78.13,76.33,74.53,79.6,84.68,78.1,71.51
65.46,73.6,81.73,87.13,92.52,92.3,92.08
75.68,81.55,87.42,89.8,92.17,93.1,94.02
99.2,99.26,99.33,99.56,99.78,99.59,99.4
99.97,99.89,99.81,99.74,99.68,99.46,99.24
97.13,92.84,88.54,93.26,97.99,96.24,94.49
68.04,61.78,55.52,41.49,27.45,15.61,3.76
70.77,72.24,73.7,79.19,84.68,89.35,94.02
28.02,36.52,45.02,51.78,58.54,44.6,30.65
97.74,95.49,93.25,86.1,78.95,87.01,95.07
93.47,95.49,97.52,95.49,93.47,87.09,80.71
43.52,51.5,59.47,62.46,65.45,56.44,47.42
82.36,80.84,79.31,75.82,72.32,85.86,99.4
66.35,61.67,56.99,63.96,70.92,52.08,33.23
36.55,54.09,71.63,82.25,92.87,93.27,93.67
75.68,76.19,76.7,73.19,69.68,59.61,49.55
71.89,78.64,85.39,87.17,88.95,93.74,98.54
85.9,84.98,84.05,89.9,95.76,92.96,90.17
34.54,43.55,52.56,59.0,65.45,64.12,62.79
97.87,96.84,95.8,95.99,96.18,96.91,97.64
32.22,49.11,66.0,71.95,77.9,67.91,57.92
93.47,92.64,91.82,91.18,90.54,89.06,87.59
17.77,24.68,31.58,35.7,39.81,39.47,39.12
79.05,76.79,74.53,74.0,73.47,83.98,94.49
76.5,67.99,59.47,63.89,68.31,69.91,71.51
85.42,82.74,80.07,72.76,65.45,75.94,86.44
64.02,66.69,69.37,81.86,94.36,91.84,89.31
79.05,74.21,69.37,78.33,87.29,90.48,93.67
61.99,70.25,78.51,75.41,72.32,50.46,28.61
98.73,98.25,97.77,95.83,93.89,95.46,97.04
92.71,91.47,90.23,91.85,93.47,92.22,90.96
88.19,83.35,78.51,77.17,75.83,82.57,89.31
83.25,87.24,91.24,88.68,86.11,77.41,68.71
89.37,88.18,86.98,78.95,70.92,77.09,83.26
72.78,76.42,80.07,78.98,77.9,80.22,82.53
41.39,46.98,52.56,64.2,75.83,48.9,21.96
78.13,77.82,77.52,76.68,75.83,58.76,41.69
98.85,99.34,99.84,99.89,99.94,99.7,99.46
22.86,23.94,25.02,26.23,27.45,36.53,45.61
88.19,90.86,93.54,87.93,82.32,82.79,83.26
99.62,99.68,99.75,99.52,99.3,97.87,96.44
76.5,82.52,88.54,86.61,84.68,83.18,81.67
14.23,13.93,13.63,15.4,17.17,29.43,41.69
90.29,80.32,70.36,54.37,38.38,58.74,79.09
99.52,99.48,99.43,99.28,99.14,98.2,97.26
88.98,92.66,96.34,97.28,98.22,97.4,96.59
72.78,70.46,68.13,73.92,79.71,69.71,59.71
88.19,88.1,88.0,84.26,80.51,76.01,71.51
86.37,85.56,84.75,88.64,92.52,67.1,41.69
82.87,86.38,89.88,92.38,94.87,92.09,89.31
72.78,74.74,76.7,70.23,63.76,61.73,59.71
70.77,71.2,71.63,66.85,62.07,53.84,45.61
64.02,59.77,55.52,65.68,75.83,77.46,79.09
99.65,99.54,99.43,99.02,98.6,97.28,95.96
77.3,80.32,83.35,87.28,91.21,94.03,96.85
92.04,88.4,84.75,63.89,43.03,55.87,68.71
83.25,83.3,83.35,89.48,95.61,91.22,86.82
95.8,93.66,91.53,88.1,84.68,87.42,90.17
19.33,23.26,27.19,29.2,31.21,55.15,79.09
99.46,99.22,98.98,98.72,98.47,98.36,98.25
28.02,36.52,45.02,56.0,66.97,65.69,64.42
36.55,27.72,18.88,16.86,14.84,22.74,30.65
14.74,14.18,13.63,14.87,16.11,19.04,21.96
52.88,58.77,64.66,69.73,74.81,63.26,51.72
84.37,86.46,88.54,62.44,36.34,27.42,18.49
33.43,33.83,34.22,44.52,54.81,66.95,79.09
56.45,44.72,32.98,32.1,31.21,41.46,51.72
50.72,67.04,83.35,84.02,84.68,83.97,83.26
15.31,17.1,18.88,25.94,32.99,47.21,61.43
20.25,20.41,20.57,24.9,29.24,25.6,21.96
52.88,48.95,45.02,44.03,43.03,46.29,49.55
54.09,67.91,81.73,86.47,91.21,85.96,80.71
28.02,23.45,18.88,13.32,7.77,12.6,17.44
30.25,31.62,32.98,24.54,16.11,40.26,64.42
56.45,65.49,74.53,70.75,66.97,55.41,43.86
37.76,37.26,36.77,39.9,43.03,41.08,39.12
54.09,63.5,72.91,80.1,87.29,80.1,72.92
72.78,76.94,81.09,77.95,74.81,51.01,27.21
40.08,37.15,34.22,31.73,29.24,33.44,37.65
73.96,79.36,84.75,87.12,89.49,68.46,47.42
10.09,11.0,11.91,13.38,14.84,14.96,15.09
33.43,37.92,42.41,35.82,29.24,26.51,23.77
13.31,16.1,18.88,19.17,19.46,17.28,15.09
31.01,29.1,27.19,25.87,24.55,28.89,33.23
41.39,33.2,25.02,33.34,41.66,31.81,21.96
14.74,19.88,25.02,25.56,26.11,27.36,28.61
37.76,33.97,30.18,33.26,36.34,50.38,64.42
79.82,86.54,93.25,93.57,93.89,90.35,86.82
35.5,51.82,68.13,77.71,87.29,89.68,92.08
93.7,91.44,89.18,66.1,43.03,38.13,33.23
24.86,23.27,21.68,18.26,14.84,11.42,7.99
30.25,30.92,31.58,21.41,11.24,8.74,6.24
64.02,65.58,67.14,66.29,65.45,60.65,55.86
64.02,56.79,49.57,55.82,62.07,48.73,35.39
66.35,65.5,64.66,72.18,79.71,82.79,85.87
52.88,44.82,36.77,33.01,29.24,34.18,39.12
41.39,33.64,25.88,16.49,7.1,6.36,5.63
38.81,35.2,31.58,25.52,19.46,16.18,12.89
42.73,39.02,35.31,33.26,31.21,32.22,33.23
18.53,19.04,19.55,18.89,18.22,31.92,45.61
31.01,21.14,11.27,22.13,32.99,25.74,18.49
45.62,48.39,51.16,59.06,66.97,64.2,61.43
89.37,90.8,92.23,79.6,66.97,80.1,93.22
18.53,19.04,19.55,22.05,24.55,18.27,12.0
37.76,29.16,20.57,24.01,27.45,20.71,13.97
48.2,48.88,49.57,41.28,32.99,36.06,39.12
84.97,85.65,86.34,81.08,75.83,67.77,59.71
55.21,51.72,48.23,45.63,43.03,46.29,49.55
41.39,39.65,37.92,42.42,46.91,48.23,49.55
59.82,58.98,58.13,55.78,53.44,50.43,47.42
52.88,54.94,56.99,50.01,43.03,43.44,43.86
31.01,35.32,39.64,54.66,69.68,54.4,39.12
63.01,66.68,70.36,71.34,72.32,73.9,75.49
45.62,39.92,34.22,32.71,31.21,22.59,13.97
55.21,53.89,52.56,57.32,62.07,74.83,87.59
33.43,27.98,22.54,15.57,8.6,33.26,57.92
85.42,76.28,67.14,47.3,27.45,30.34,33.23
21.11,16.51,11.91,11.13,10.35,8.3,6.24
19.33,18.44,17.54,12.0,6.46,8.32,10.18
56.45,47.18,37.92,34.56,31.21,34.43,37.65
50.72,61.18,71.63,55.0,38.38,41.12,43.86
88.19,63.92,39.64,32.88,26.11,32.62,39.12
73.96,76.24,78.51,75.41,72.32,74.6,76.89
33.43,35.68,37.92,41.41,44.9,36.76,28.61
45.62,33.1,20.57,14.17,7.77,15.77,23.77
68.04,58.8,49.57,53.13,56.69,62.7,68.71
92.23,90.7,89.18,83.54,77.9,84.04,90.17
36.55,28.56,20.57,32.74,44.9,39.06,33.23
26.81,30.52,34.22,28.78,23.34,14.79,6.24
76.5,67.32,58.13,41.34,24.55,17.88,11.2
92.23,86.66,81.09,51.48,21.88,27.55,33.23
65.46,78.64,91.82,89.92,88.03,83.04,78.04
33.43,35.1,36.77,30.66,24.55,37.05,49.55
35.5,32.84,30.18,26.76,23.34,17.27,11.2
58.8,45.19,31.58,22.02,12.45,22.84,33.23
6.08,6.82,7.55,7.32,7.1,5.62,4.14
85.9,83.82,81.73,78.27,74.81,56.23,37.65
74.91,82.74,90.58,91.84,93.09,95.34,97.58
10.54,14.04,17.54,19.71,21.88,30.5,39.12
26.81,35.92,45.02,50.86,56.69,52.05,47.42
47.06,44.0,40.94,50.63,60.32,51.0,41.69
37.76,35.37,32.98,32.98,32.99,39.3,45.61
23.78,22.18,20.57,20.56,20.54,20.3,20.05
70.77,73.19,75.61,57.71,39.81,25.0,10.18
92.23,90.7,89.18,88.84,88.5,67.96,47.42
7.04,6.52,5.99,22.9,39.81,50.62,61.43
21.11,33.64,46.16,39.58,32.99,44.42,55.86
54.09,56.78,59.47,56.46,53.44,46.28,39.12
57.59,61.8,66.0,53.83,41.66,30.86,20.05
91.05,82.79,74.53,72.1,69.68,78.84,88.0
86.66,75.66,64.66,67.79,70.92,61.32,51.72
25.76,21.27,16.78,16.44,16.11,15.6,15.09
72.78,72.84,72.91,49.51,26.11,24.04,21.96
28.02,23.45,18.88,24.06,29.24,35.47,41.69
64.02,60.5,56.99,55.21,53.44,45.54,37.65
48.2,48.22,48.23,46.56,44.9,43.3,41.69
26.81,24.68,22.54,22.94,23.34,18.66,13.97
51.74,44.83,37.92,31.24,24.55,14.34,4.14
7.48,15.58,23.69,32.67,41.66,24.51,7.35
38.81,41.24,43.68,44.29,44.9,36.76,28.61
68.04,69.2,70.36,67.06,63.76,49.58,35.39
35.5,35.4,35.31,26.24,17.17,11.02,4.87
63.01,64.5,66.0,60.4,54.81,56.36,57.92
74.91,71.52,68.13,68.9,69.68,78.25,86.82
24.86,19.83,14.8,14.24,13.69,10.52,7.35
81.76,70.62,59.47,57.14,54.81,48.25,41.69
47.06,52.6,58.13,74.11,90.1,82.8,75.49
19.33,19.95,20.57,20.56,20.54,24.58,28.61
71.89,59.02,46.16,49.8,53.44,42.04,30.65
94.62,92.25,89.88,89.68,89.49,86.38,83.26
65.46,71.49,77.52,83.51,89.49,88.74,88.0
45.62,39.3,32.98,34.66,36.34,45.1,53.85
17.77,17.28,16.78,20.06,23.34,14.96,6.59
65.46,71.49,77.52,80.46,83.41,78.8,74.19
93.0,90.5,88.0,86.7,85.41,75.79,66.17
26.81,38.98,51.16,36.52,21.88,20.18,18.49
99.4,99.02,98.63,98.23,97.83,98.39,98.95
77.3,87.18,97.07,97.86,98.66,98.68,98.7
12.86,22.92,32.98,46.65,60.32,78.14,95.96
9.65,10.78,11.91,16.23,20.54,31.12,41.69
0.83,3.41,5.99,5.62,5.25,6.62,7.99
19.33,22.18,25.02,25.56,26.11,25.77,25.43
10.09,10.01,9.93,10.58,11.24,22.24,33.23
8.05,6.08,4.11,4.49,4.87,12.46,20.05
5.35,4.42,3.5,3.4,3.31,3.14,2.96
2.55,3.33,4.11,3.58,3.06,7.13,11.2
38.81,25.36,11.91,12.18,12.45,18.94,25.43
7.04,7.07,7.1,6.42,5.73,3.16,0.6
7.04,7.3,7.55,7.0,6.46,10.78,15.09
49.38,47.2,45.02,32.78,20.54,25.6,30.65
28.02,28.2,28.37,22.24,16.11,12.66,9.2
0.13,0.06,0.0,0.0,0.0,0.0,0.0
96.24,92.71,89.18,84.06,78.95,76.57,74.19
8.63,6.96,5.28,12.37,19.46,13.4,7.35
55.21,56.67,58.13,44.67,31.21,27.49,23.77
12.13,20.25,28.37,46.06,63.76,69.62,75.49
26.81,33.88,40.94,39.66,38.38,29.22,20.05
11.56,9.33,7.1,10.97,14.84,11.42,7.99
78.13,76.33,74.53,67.42,60.32,63.24,66.17
20.25,17.99,15.73,14.71,13.69,17.82,21.96
14.23,22.91,31.58,16.16,0.73,0.36,0.0
89.88,91.06,92.23,93.5,94.78,92.3,89.82
0.73,0.73,0.73,0.6,0.48,2.31,4.14
16.17,15.95,15.73,15.92,16.11,15.04,13.97
10.09,8.82,7.55,5.6,3.66,2.48,1.3
94.94,73.05,51.16,61.04,70.92,73.9,76.89
58.8,55.68,52.56,40.9,29.24,39.4,49.55
11.56,23.44,35.31,48.69,62.07,71.87,81.67
37.76,26.28,14.8,12.58,10.35,7.99,5.63
22.86,18.24,13.63,13.04,12.45,17.2,21.96
13.59,35.29,56.99,64.66,72.32,68.37,64.42
35.5,53.56,71.63,71.97,72.32,82.0,91.69
18.53,18.04,17.54,9.95,2.36,1.94,1.53
4.62,3.2,1.78,1.46,1.15,1.78,2.42
43.52,47.34,51.16,43.75,36.34,22.17,7.99
60.74,61.4,62.05,59.37,56.69,60.56,64.42
4.93,5.1,5.28,6.19,7.1,8.64,10.18
9.04,24.99,40.94,68.94,96.94,96.9,96.85
68.04,74.89,81.73,82.02,82.32,74.24,66.17
71.89,75.6,79.31,82.71,86.11,68.91,51.72
5.35,5.46,5.57,7.96,10.35,9.17,7.99
36.55,44.56,52.56,47.11,41.66,49.79,57.92
11.11,12.05,12.99,18.16,23.34,30.5,37.65
5.7,3.04,0.38,0.7,1.02,1.72,2.42
21.11,26.35,31.58,17.76,3.95,3.3,2.64
3.09,2.02,0.96,1.06,1.15,7.56,13.97
0.54,0.27,0.0,0.0,0.0,1.21,2.42
10.54,15.56,20.57,36.14,51.72,60.94,70.15
12.86,9.72,6.59,11.88,17.17,10.46,3.76
2.55,4.27,5.99,5.62,5.25,3.07,0.89
12.86,12.38,11.91,14.54,17.17,18.61,20.05
31.01,30.6,30.18,23.14,16.11,12.66,9.2
2.07,2.31,2.55,3.71,4.87,5.25,5.63
3.09,7.5,11.91,6.65,1.4,1.14,0.89
31.01,44.0,56.99,29.46,1.94,2.69,3.44
0.19,0.57,0.96,0.48,0.0,0.0,0.0
4.62,3.2,1.78,2.72,3.66,3.31,2.96
13.31,15.04,16.78,30.84,44.9,46.16,47.42
0.83,0.9,0.96,2.01,3.06,3.6,4.14
0.45,0.42,0.38,0.59,0.8,1.24,1.69
10.54,9.83,9.11,10.78,12.45,12.67,12.89
3.09,4.84,6.59,8.92,11.24,25.18,39.12
10.54,15.04,19.55,16.62,13.69,8.57,3.44
12.13,11.4,10.67,11.56,12.45,12.22,12.0
3.37,2.96,2.55,2.24,1.94,3.04,4.14
0.57,1.18,1.78,4.78,7.77,14.86,21.96
10.09,7.36,4.62,3.96,3.31,1.95,0.6
3.85,4.41,4.97,7.66,10.35,11.18,12.0
8.63,7.61,6.59,13.02,19.46,18.98,18.49
41.39,35.78,30.18,22.51,14.84,9.49,4.14
4.27,4.78,5.28,11.75,18.22,16.1,13.97
2.36,3.49,4.62,7.93,11.24,8.44,5.63
36.55,43.06,49.57,49.16,48.76,41.0,33.23
5.7,4.38,3.06,2.5,1.94,3.4,4.87
22.03,21.86,21.68,21.11,20.54,22.98,25.43
5.35,13.51,21.68,30.03,38.38,35.8,33.23
17.06,13.5,9.93,13.02,16.11,10.87,5.63
32.22,24.88,17.54,26.2,34.87,38.28,41.69
28.84,26.26,23.69,25.57,27.45,30.34,33.23
11.11,11.51,11.91,7.61,3.31,2.78,2.26
2.96,4.47,5.99,5.62,5.25,3.47,1.69
9.65,9.79,9.93,6.62,3.31,2.02,0.73
5.35,5.46,5.57,13.72,21.88,35.71,49.55
11.56,11.74,11.91,8.58,5.25,3.94,2.64
11.56,11.42,11.27,14.22,17.17,11.88,6.59
8.63,6.62,4.62,3.63,2.64,4.44,6.24
14.74,11.14,7.55,4.0,0.45,0.59,0.73
32.22,26.4,20.57,15.9,11.24,7.1,2.96
8.05,15.87,23.69,26.46,29.24,15.59,1.94
4.62,3.34,2.07,2.36,2.64,2.64,2.64
28.02,28.2,28.37,30.68,32.99,31.82,30.65
4.62,4.19,3.76,5.76,7.77,12.6,17.44
4.93,4.0,3.06,2.85,2.64,2.53,2.42
2.23,2.31,2.39,1.9,1.4,1.14,0.89
10.54,8.57,6.59,16.35,26.11,15.49,4.87
1.11,1.27,1.43,1.51,1.59,1.92,2.26
4.62,3.84,3.06,1.83,0.61,6.3,12.0
16.17,12.64,9.11,12.61,16.11,18.08,20.05
25.76,17.18,8.6,6.13,3.66,3.9,4.14
9.65,9.38,9.11,6.99,4.87,7.52,10.18
14.23,12.75,11.27,10.81,10.35,8.85,7.35
7.48,11.14,14.8,17.67,20.54,22.98,25.43
0.13,0.36,0.6,0.3,0.0,0.0,0.0
24.86,27.52,30.18,53.72,77.26,77.08,76.89
11.56,9.56,7.55,11.2,14.84,18.4,21.96
23.78,21.33,18.88,18.02,17.17,18.61,20.05
13.59,10.88,8.18,8.83,9.49,14.77,20.05
