2014 SVI Aged 65 or Older Data and Encoding,2015 SVI Aged 65 or Older Data and Encoding,2016 SVI Aged 65 or Older Data and Encoding,2017 SVI Aged 65 or Older Data and Encoding,2018 SVI Aged 65 or Older Data and Encoding,2019 SVI Aged 65 or Older Data and Encoding,2020 SVI Aged 65 or Older Data and Encoding
30.85,34.37,37.89,35.78,33.68,37.86,42.04
21.87,21.04,20.22,19.7,19.17,18.72,18.27
51.74,49.28,46.83,44.36,41.9,40.9,39.91
16.11,17.48,18.85,18.36,17.86,16.71,15.56
16.56,16.7,16.84,15.93,15.03,15.82,16.61
17.03,17.26,17.48,18.33,19.17,20.15,21.13
59.85,59.64,59.44,60.89,62.34,63.65,64.96
27.67,27.5,27.32,28.58,29.83,31.0,32.18
33.17,31.28,29.39,28.02,26.65,26.07,25.49
6.34,6.3,6.27,6.8,7.32,7.79,8.27
18.69,18.08,17.48,17.99,18.5,19.15,19.8
35.59,35.11,34.64,36.8,38.97,33.04,27.12
10.7,10.54,10.38,10.36,10.35,9.98,9.61
7.07,7.44,7.8,8.06,8.31,8.47,8.63
13.5,13.16,12.83,12.81,12.8,13.07,13.34
46.39,46.07,45.75,45.96,46.16,48.1,50.03
28.72,28.52,28.33,27.49,26.65,27.66,28.68
9.87,9.76,9.65,11.22,12.8,14.18,15.56
16.56,16.23,15.89,15.46,15.03,15.29,15.56
11.17,10.15,9.14,8.23,7.32,8.3,9.29
53.87,56.66,59.44,62.18,64.92,66.1,67.28
26.77,26.31,25.85,25.79,25.72,25.2,24.67
42.22,41.57,40.91,46.02,51.13,51.1,51.08
30.85,30.12,29.39,31.95,34.51,35.9,37.3
63.77,63.1,62.43,64.1,65.78,65.88,65.98
2.71,2.68,2.64,2.78,2.93,3.04,3.15
5.89,6.32,6.75,7.53,8.31,8.96,9.61
45.34,48.26,51.19,51.67,52.15,54.09,56.02
25.18,26.25,27.32,28.12,28.91,31.26,33.61
9.39,10.03,10.67,10.94,11.21,11.78,12.35
25.95,25.58,25.21,24.7,24.2,23.83,23.46
14.65,14.72,14.8,15.1,15.41,16.55,17.7
22.76,22.94,23.11,24.88,26.65,27.98,29.31
23.75,24.8,25.85,26.98,28.11,29.64,31.16
12.8,13.15,13.5,13.42,13.34,13.8,14.26
70.33,73.13,75.93,80.36,84.78,86.39,88.0
11.17,11.41,11.65,12.22,12.8,13.96,15.12
61.8,62.56,63.32,63.27,63.23,64.6,65.98
19.8,18.99,18.18,18.68,19.17,18.72,18.27
3.98,3.93,3.88,3.98,4.08,4.44,4.81
37.47,37.68,37.89,39.4,40.91,40.41,39.91
59.06,58.76,58.45,58.31,58.17,57.7,57.22
10.28,9.96,9.65,9.78,9.9,10.33,10.76
61.0,59.26,57.53,56.37,55.21,53.14,51.08
12.23,15.93,19.64,15.78,11.91,15.41,18.91
37.47,37.68,37.89,41.06,44.22,46.25,48.28
35.59,35.11,34.64,35.64,36.64,36.59,36.54
81.41,82.12,82.84,83.81,84.78,85.68,86.57
38.62,39.3,39.99,40.94,41.9,44.18,46.47
66.6,68.84,71.09,73.54,75.99,76.25,76.51
79.11,81.24,83.38,85.24,87.11,88.13,89.15
50.68,51.52,52.37,55.27,58.17,59.08,59.99
83.86,84.94,86.02,87.0,87.97,88.56,89.15
93.0,93.7,94.4,94.49,94.59,94.71,94.84
65.62,66.89,68.16,70.32,72.49,73.96,75.43
39.64,40.69,41.74,42.47,43.2,44.84,46.47
88.48,89.3,90.13,91.31,92.49,92.58,92.68
65.04,67.58,70.11,73.83,77.55,78.48,79.41
61.8,64.33,66.86,68.61,70.36,71.83,73.3
63.77,66.94,70.11,73.38,76.66,78.04,79.41
83.86,84.67,85.48,86.14,86.79,87.2,87.62
51.74,54.12,56.51,59.42,62.34,63.65,64.96
70.33,68.6,66.86,65.89,64.92,63.82,62.73
15.79,15.84,15.89,15.65,15.41,15.48,15.56
36.39,35.51,34.64,34.16,33.68,33.36,33.04
11.72,12.83,13.94,14.48,15.03,15.6,16.17
28.72,28.52,28.33,28.22,28.11,27.62,27.12
26.77,28.08,29.39,29.15,28.91,29.56,30.2
16.11,16.79,17.48,18.99,20.5,20.82,21.13
4.87,5.0,5.13,5.4,5.67,5.76,5.86
71.06,71.58,72.11,72.3,72.49,72.24,71.99
12.23,12.87,13.5,13.77,14.04,14.15,14.26
72.43,73.86,75.29,76.42,77.55,78.27,78.99
21.36,22.24,23.11,23.65,24.2,24.44,24.67
8.72,9.18,9.65,10.0,10.35,10.56,10.76
91.72,92.18,92.65,93.08,93.51,92.95,92.39
17.7,17.59,17.48,17.99,18.5,19.15,19.8
4.87,5.57,6.27,6.8,7.32,7.98,8.63
48.55,49.36,50.18,49.56,48.93,50.54,52.16
8.15,8.26,8.37,7.84,7.32,7.08,6.84
30.02,30.18,30.34,28.91,27.48,27.68,27.88
95.96,96.12,96.28,96.52,96.75,96.62,96.5
35.59,35.11,34.64,33.81,32.98,33.01,33.04
22.76,22.19,21.62,21.86,22.09,22.0,21.9
94.3,94.54,94.78,95.06,95.35,95.0,94.65
11.72,11.05,10.38,10.8,11.21,11.58,11.94
97.33,97.46,97.58,97.72,97.87,97.7,97.52
79.11,80.07,81.03,81.51,81.98,82.54,83.1
35.59,34.52,33.46,32.73,32.0,31.58,31.16
66.6,72.26,77.91,80.4,82.9,85.26,87.62
33.17,32.71,32.25,32.12,32.0,32.09,32.18
51.74,55.59,59.44,65.26,71.09,73.8,76.51
32.12,30.76,29.39,29.15,28.91,29.56,30.2
21.87,23.54,25.21,27.06,28.91,31.26,33.61
21.36,20.5,19.64,19.4,19.17,18.72,18.27
16.56,18.1,19.64,18.26,16.87,20.43,24.0
36.39,34.92,33.46,32.22,30.98,30.14,29.31
36.39,37.67,38.94,39.42,39.89,40.96,42.04
6.34,5.74,5.13,4.97,4.81,4.68,4.55
20.73,20.47,20.22,20.36,20.5,20.82,21.13
99.71,99.7,99.68,99.66,99.65,99.57,99.49
89.68,89.68,89.68,89.78,89.88,89.83,89.78
25.95,26.64,27.32,26.52,25.72,26.42,27.12
83.06,83.65,84.24,83.98,83.73,83.42,83.1
93.98,94.3,94.62,94.38,94.14,93.96,93.79
86.5,87.17,87.84,88.02,88.19,88.43,88.67
61.0,62.68,64.37,69.46,74.56,77.38,80.2
44.29,45.02,45.75,45.96,46.16,45.76,45.35
59.06,59.78,60.49,60.22,59.95,61.34,62.73
90.93,91.29,91.66,91.66,91.66,92.02,92.39
54.66,54.5,54.35,55.76,57.18,58.06,58.94
43.33,43.42,43.52,44.84,46.16,45.76,45.35
40.78,40.38,39.99,38.81,37.63,37.47,37.3
63.77,65.96,68.16,67.47,66.79,67.48,68.17
81.85,82.62,83.38,84.8,86.21,86.52,86.82
92.14,92.76,93.38,93.76,94.14,94.28,94.43
38.62,38.78,38.94,38.96,38.97,41.08,43.19
84.34,84.91,85.48,85.84,86.21,85.7,85.2
26.77,28.55,30.34,29.62,28.91,30.04,31.16
88.83,89.7,90.58,90.74,90.89,90.34,89.78
81.85,82.12,82.39,83.58,84.78,85.43,86.09
78.41,79.16,79.91,79.4,78.89,80.24,81.6
37.47,38.73,39.99,41.6,43.2,44.28,45.35
66.6,69.8,73.0,74.22,75.45,77.22,78.99
32.12,32.18,32.25,33.38,34.51,34.49,34.47
93.82,93.74,93.66,93.72,93.79,93.49,93.19
90.64,90.04,89.43,90.16,90.89,91.84,92.78
43.33,45.08,46.83,50.18,53.52,56.23,58.94
40.78,40.38,39.99,37.82,35.66,34.64,33.61
51.74,52.52,53.3,54.26,55.21,55.62,56.02
38.62,38.26,37.89,36.2,34.51,33.78,33.04
90.64,90.16,89.68,89.78,89.88,89.83,89.78
8.72,8.74,8.76,8.95,9.14,9.38,9.61
12.8,13.8,14.8,14.61,14.42,14.99,15.56
97.87,97.82,97.77,97.6,97.42,97.14,96.85
97.96,98.01,98.06,98.14,98.22,97.79,97.36
4.87,5.0,5.13,5.26,5.38,5.92,6.46
35.59,35.67,35.75,35.7,35.66,36.48,37.3
16.56,16.49,16.43,16.28,16.14,16.38,16.61
65.04,65.47,65.9,64.57,63.23,63.35,63.46
10.28,9.96,9.65,9.78,9.9,9.75,9.61
98.47,98.8,99.14,99.25,99.36,99.4,99.43
95.48,95.76,96.05,96.08,96.12,96.24,96.37
32.12,33.93,35.75,37.36,38.97,40.51,42.04
96.75,97.23,97.71,97.65,97.58,97.86,98.15
42.22,42.87,43.52,45.34,47.15,48.24,49.33
20.73,22.7,24.67,26.39,28.11,30.58,33.04
73.26,75.59,77.91,76.24,74.56,73.28,71.99
94.08,94.58,95.07,95.02,94.97,95.29,95.61
34.42,33.34,32.25,31.62,30.98,31.07,31.16
87.93,88.68,89.43,89.89,90.35,90.4,90.45
40.78,41.76,42.73,44.94,47.15,49.65,52.16
81.41,81.62,81.82,82.78,83.73,84.46,85.2
44.29,43.9,43.52,44.84,46.16,45.76,45.35
83.06,83.65,84.24,85.04,85.83,86.72,87.62
40.78,40.38,39.99,42.63,45.27,45.87,46.47
67.65,67.9,68.16,68.02,67.88,67.58,67.28
30.02,31.74,33.46,35.54,37.63,39.84,42.04
36.39,36.61,36.84,35.68,34.51,34.49,34.47
98.63,98.65,98.66,98.72,98.79,98.58,98.38
27.67,27.5,27.32,28.12,28.91,29.56,30.2
51.74,53.04,54.35,53.94,53.52,54.34,55.16
25.95,26.64,27.32,27.72,28.11,28.71,29.31
67.65,67.59,67.53,68.02,68.51,68.34,68.17
92.65,92.48,92.3,91.98,91.66,91.12,90.58
99.17,99.25,99.33,99.42,99.52,99.52,99.52
65.04,65.05,65.07,67.71,70.36,69.74,69.13
95.64,95.74,95.83,95.59,95.35,95.24,95.13
66.6,67.84,69.09,69.72,70.36,70.45,70.53
15.19,15.0,14.8,15.1,15.41,16.31,17.22
98.47,98.46,98.44,98.49,98.54,98.46,98.38
98.98,98.92,98.85,98.9,98.95,98.87,98.79
46.39,47.74,49.09,50.11,51.13,52.06,52.99
41.74,42.63,43.52,44.84,46.16,47.22,48.28
41.74,41.32,40.91,39.27,37.63,37.47,37.3
71.06,71.08,71.09,71.79,72.49,72.9,73.3
90.93,91.29,91.66,92.58,93.51,93.73,93.95
39.64,40.28,40.91,42.06,43.2,43.88,44.56
57.12,58.8,60.49,61.42,62.34,63.26,64.19
34.42,35.63,36.84,37.9,38.97,39.93,40.9
8.15,8.64,9.14,9.52,9.9,10.56,11.23
19.01,18.6,18.18,18.68,19.17,19.04,18.91
52.82,53.06,53.3,51.76,50.21,50.65,51.08
98.98,98.95,98.92,99.03,99.14,99.03,98.92
7.07,7.72,8.37,9.36,10.35,11.14,11.94
68.29,67.91,67.53,67.16,66.79,67.04,67.28
21.87,22.08,22.29,22.51,22.73,23.1,23.46
16.56,17.37,18.18,15.49,12.8,12.02,11.23
96.82,95.94,95.07,94.1,93.12,92.6,92.08
13.5,13.16,12.83,11.81,10.79,10.55,10.31
77.36,76.32,75.29,73.46,71.63,71.42,71.2
41.74,40.86,39.99,37.82,35.66,34.64,33.61
2.55,2.69,2.83,3.07,3.31,4.06,4.81
90.64,90.61,90.58,91.02,91.47,91.34,91.22
77.97,76.33,74.69,73.59,72.49,71.84,71.2
16.56,17.37,18.18,17.81,17.45,18.18,18.91
13.5,12.58,11.65,10.78,9.9,8.7,7.51
72.43,71.27,70.11,69.8,69.5,67.23,64.96
91.37,92.31,93.25,94.11,94.97,95.22,95.48
87.93,87.46,86.98,85.6,84.21,82.65,81.09
78.41,79.16,79.91,79.69,79.47,79.44,79.41
8.15,8.74,9.33,10.06,10.79,11.57,12.35
16.56,15.68,14.8,14.92,15.03,15.29,15.56
83.41,83.82,84.24,83.11,81.98,82.12,82.27
88.48,87.85,87.23,85.84,84.46,82.78,81.09
79.11,78.2,77.3,74.19,71.09,70.11,69.13
84.34,84.08,83.83,82.38,80.93,79.28,77.63
59.85,60.68,61.51,58.36,55.21,56.22,57.22
90.93,90.08,89.24,87.82,86.41,86.49,86.57
11.72,11.42,11.11,11.51,11.91,12.13,12.35
72.43,73.1,73.77,72.06,70.36,71.83,73.3
89.46,89.57,89.68,90.16,90.64,90.38,90.13
21.36,21.82,22.29,21.72,21.14,21.52,21.9
80.74,81.06,81.38,81.68,81.98,83.29,84.6
80.74,78.33,75.93,75.24,74.56,75.54,76.51
61.8,63.08,64.37,65.08,65.78,67.46,69.13
54.66,51.88,49.09,48.63,48.17,49.1,50.03
91.95,90.82,89.68,88.63,87.58,88.13,88.67
82.59,83.58,84.56,85.84,87.11,88.44,89.78
94.24,93.95,93.66,94.0,94.33,94.06,93.79
93.6,93.49,93.38,92.86,92.33,92.06,91.79
83.86,84.46,85.07,84.76,84.46,85.28,86.09
37.47,36.61,35.75,36.2,36.64,36.2,35.77
95.48,94.86,94.24,92.57,90.89,89.78,88.67
23.75,22.35,20.95,21.04,21.14,22.3,23.46
50.68,51.99,53.3,50.74,48.17,48.22,48.28
47.56,46.16,44.76,43.33,41.9,39.6,37.3
77.36,75.56,73.77,73.44,73.1,73.66,74.22
86.06,85.56,85.07,84.4,83.73,83.6,83.48
59.06,58.76,58.45,58.31,58.17,58.56,58.94
54.66,56.1,57.53,52.34,47.15,45.17,43.19
53.87,53.12,52.37,53.39,54.41,54.78,55.16
59.85,57.54,55.24,53.7,52.15,47.67,43.19
92.65,92.48,92.3,92.16,92.01,91.62,91.22
17.7,18.67,19.64,20.86,22.09,22.47,22.85
39.64,34.99,30.34,28.03,25.72,26.42,27.12
86.5,85.78,85.07,81.31,77.55,74.04,70.53
19.01,19.32,19.64,19.07,18.5,18.7,18.91
87.42,86.99,86.56,85.98,85.39,85.48,85.58
43.33,43.42,43.52,43.87,44.22,43.13,42.04
59.85,60.17,60.49,61.86,63.23,64.6,65.98
81.41,79.36,77.3,74.46,71.63,70.82,70.02
52.82,50.32,47.82,47.48,47.15,46.25,45.35
88.83,88.88,88.92,88.25,87.58,87.49,87.4
14.65,14.3,13.94,13.8,13.66,13.96,14.26
63.77,64.07,64.37,63.8,63.23,64.09,64.96
82.59,81.57,80.55,78.27,75.99,73.99,71.99
78.41,78.16,77.91,74.13,70.36,69.74,69.13
18.69,19.16,19.64,19.69,19.74,20.43,21.13
79.11,78.51,77.91,71.42,64.92,63.47,62.03
35.59,33.92,32.25,31.62,30.98,32.72,34.47
50.68,50.43,50.18,51.16,52.15,53.65,55.16
1.78,1.85,1.91,1.91,1.91,2.05,2.2
2.36,2.6,2.83,2.75,2.67,2.75,2.83
56.03,54.2,52.37,49.76,47.15,45.86,44.56
16.11,15.78,15.44,15.42,15.41,16.01,16.61
38.62,36.63,34.64,34.16,33.68,34.08,34.47
48.55,47.15,45.75,42.82,39.89,35.04,30.2
83.41,82.62,81.82,80.64,79.47,77.99,76.51
69.02,68.59,68.16,70.98,73.8,73.22,72.63
97.42,96.74,96.05,94.03,92.01,90.18,88.35
65.62,65.34,65.07,69.44,73.8,74.01,74.22
87.14,86.31,85.48,80.74,75.99,73.01,70.02
39.64,39.29,38.94,38.29,37.63,38.07,38.51
10.7,11.76,12.83,13.44,14.04,15.11,16.17
71.6,69.88,68.16,65.25,62.34,62.9,63.46
65.62,64.47,63.32,61.3,59.28,58.73,58.18
26.77,26.58,26.39,27.65,28.91,29.56,30.2
4.87,5.28,5.7,5.68,5.67,5.76,5.86
79.72,78.24,76.76,71.78,66.79,66.39,65.98
46.39,45.58,44.76,45.46,46.16,47.22,48.28
48.55,47.69,46.83,46.99,47.15,46.25,45.35
77.97,79.5,81.03,81.96,82.9,83.75,84.6
65.62,66.58,67.53,61.94,56.35,55.21,54.07
57.12,54.16,51.19,48.23,45.27,43.08,40.9
17.7,18.67,19.64,18.75,17.86,19.16,20.46
56.03,53.61,51.19,50.06,48.93,49.48,50.03
76.44,78.74,81.03,81.96,82.9,83.97,85.04
33.17,31.76,30.34,30.66,30.98,32.72,34.47
68.29,68.23,68.16,71.8,75.45,75.74,76.03
19.8,23.1,26.39,24.99,23.59,26.45,29.31
59.06,59.78,60.49,62.39,64.28,64.24,64.19
37.47,39.19,40.91,42.06,43.2,43.88,44.56
15.79,15.62,15.44,15.42,15.41,16.31,17.22
28.72,29.05,29.39,31.18,32.98,33.72,34.47
56.03,50.4,44.76,37.87,30.98,31.58,32.18
7.26,7.53,7.8,7.56,7.32,7.41,7.51
12.23,11.94,11.65,11.0,10.35,9.98,9.61
57.12,57.32,57.53,56.94,56.35,58.17,59.99
19.8,20.01,20.22,18.55,16.87,16.22,15.56
10.28,9.71,9.14,9.74,10.35,11.35,12.35
42.22,41.98,41.74,40.82,39.89,38.6,37.3
50.68,50.93,51.19,56.16,61.13,62.3,63.46
15.19,15.32,15.44,15.24,15.03,15.82,16.61
9.39,9.36,9.33,10.06,10.79,12.06,13.34
19.01,17.92,16.84,16.12,15.41,16.55,17.7
19.01,19.61,20.22,22.62,25.02,27.61,30.2
61.8,62.56,63.32,46.58,29.83,55.02,80.2
50.68,48.22,45.75,42.82,39.89,38.21,36.54
19.8,20.01,20.22,20.68,21.14,22.57,24.0
57.12,58.28,59.44,60.28,61.13,61.58,62.03
17.7,18.27,18.85,19.67,20.5,20.15,19.8
65.62,67.86,70.11,73.38,76.66,78.04,79.41
32.12,30.76,29.39,29.61,29.83,29.57,29.31
46.39,46.61,46.83,51.59,56.35,62.74,69.13
6.34,6.02,5.7,5.44,5.19,5.7,6.21
7.8,7.45,7.1,8.12,9.14,9.38,9.61
28.72,28.02,27.32,29.66,32.0,32.52,33.04
40.78,38.81,36.84,38.88,40.91,40.41,39.91
20.73,20.84,20.95,21.04,21.14,22.9,24.67
21.87,21.41,20.95,18.55,16.14,16.16,16.17
12.8,12.81,12.83,12.6,12.38,12.65,12.92
33.17,32.71,32.25,32.12,32.0,31.58,31.16
21.87,21.41,20.95,21.04,21.14,22.3,23.46
9.39,10.25,11.11,9.71,8.31,8.07,7.83
40.78,41.26,41.74,41.82,41.9,43.62,45.35
24.45,25.88,27.32,30.15,32.98,33.72,34.47
52.82,53.06,53.3,54.26,55.21,56.7,58.18
65.62,65.76,65.9,68.49,71.09,72.66,74.22
23.75,24.21,24.67,24.44,24.2,24.84,25.49
41.74,40.34,38.94,33.53,28.11,26.39,24.67
28.72,29.53,30.34,28.03,25.72,25.98,26.23
3.53,3.31,3.09,3.01,2.93,3.04,3.15
20.73,20.84,20.95,20.72,20.5,21.68,22.85
43.33,46.21,49.09,49.65,50.21,50.12,50.03
43.33,46.76,50.18,45.54,40.91,42.05,43.19
32.12,31.72,31.33,31.66,32.0,30.65,29.31
22.76,21.86,20.95,19.2,17.45,17.03,16.61
46.39,46.07,45.75,44.98,44.22,40.76,37.3
30.85,29.59,28.33,28.62,28.91,31.69,34.47
14.17,14.48,14.8,15.84,16.87,17.28,17.7
17.03,16.93,16.84,17.67,18.5,20.67,22.85
27.67,27.03,26.39,34.8,43.2,38.12,33.04
33.17,33.32,33.46,33.98,34.51,35.9,37.3
49.51,49.3,49.09,50.62,52.15,54.68,57.22
17.03,17.6,18.18,21.19,24.2,26.76,29.31
7.26,7.42,7.58,7.69,7.8,8.54,9.29
16.11,16.0,15.89,16.38,16.87,17.28,17.7
23.75,23.88,24.01,25.33,26.65,26.07,25.49
40.78,38.81,36.84,33.34,29.83,27.66,25.49
72.43,71.76,71.09,69.8,68.51,67.24,65.98
3.76,3.82,3.88,3.98,4.08,4.44,4.81
35.59,34.52,33.46,32.73,32.0,29.94,27.88
52.82,54.03,55.24,55.79,56.35,57.26,58.18
23.75,23.88,24.01,25.74,27.48,28.4,29.31
17.03,16.93,16.84,18.29,19.74,22.98,26.23
33.17,33.32,33.46,33.22,32.98,29.6,26.23
45.34,43.54,41.74,42.98,44.22,42.56,40.9
30.02,30.68,31.33,32.51,33.68,33.65,33.61
57.12,55.74,54.35,57.74,61.13,62.66,64.19
59.85,60.17,60.49,60.22,59.95,61.71,63.46
12.8,11.96,11.11,10.73,10.35,8.93,7.51
19.8,19.72,19.64,17.89,16.14,15.63,15.12
53.87,52.53,51.19,50.7,50.21,51.6,52.99
91.72,92.23,92.74,92.38,92.01,91.23,90.45
50.68,48.22,45.75,42.82,39.89,39.2,38.51
74.21,73.6,73.0,70.44,67.88,69.54,71.2
66.6,65.48,64.37,66.12,67.88,68.03,68.17
68.29,67.1,65.9,62.93,59.95,57.98,56.02
97.77,97.84,97.9,98.09,98.28,98.1,97.93
57.12,56.18,55.24,57.6,59.95,60.53,61.11
3.76,3.82,3.88,4.18,4.49,4.95,5.41
25.95,24.98,24.01,24.51,25.02,24.84,24.67
56.03,53.61,51.19,50.7,50.21,50.12,50.03
63.77,64.42,65.07,64.15,63.23,61.08,58.94
19.8,20.71,21.62,23.32,25.02,25.26,25.49
93.0,93.33,93.66,94.81,95.96,95.54,95.13
32.12,31.72,31.33,30.12,28.91,28.4,27.88
77.97,78.36,78.76,76.66,74.56,74.66,74.76
54.66,56.56,58.45,60.84,63.23,60.22,57.22
28.72,29.53,30.34,30.08,29.83,29.57,29.31
91.72,90.58,89.43,87.92,86.41,84.76,83.1
88.83,88.34,87.84,87.48,87.11,87.12,87.14
19.8,20.38,20.95,21.04,21.14,21.14,21.13
70.33,71.22,72.11,71.87,71.63,72.13,72.63
11.72,12.28,12.83,12.81,12.8,12.86,12.92
50.68,49.25,47.82,45.51,43.2,40.25,37.3
18.69,19.45,20.22,22.21,24.2,26.04,27.88
45.34,44.43,43.52,41.24,38.97,38.74,38.51
57.12,56.82,56.51,56.43,56.35,56.18,56.02
86.06,86.31,86.56,85.67,84.78,85.43,86.09
66.6,67.06,67.53,67.7,67.88,68.95,70.02
65.62,65.34,65.07,66.79,68.51,67.24,65.98
34.42,33.94,33.46,33.57,33.68,35.49,37.3
77.36,76.64,75.93,76.74,77.55,76.79,76.03
85.8,86.18,86.56,86.84,87.11,87.26,87.4
54.66,52.42,50.18,49.18,48.17,44.04,39.91
30.85,31.55,32.25,32.97,33.68,34.08,34.47
84.81,84.1,83.38,82.16,80.93,81.01,81.09
81.41,78.05,74.69,70.24,65.78,61.5,57.22
30.85,30.12,29.39,28.44,27.48,27.3,27.12
84.34,82.86,81.38,79.02,76.66,74.32,71.99
84.81,83.32,81.82,81.6,81.38,80.4,79.41
79.72,77.82,75.93,75.69,75.45,75.74,76.03
99.4,99.4,99.4,99.4,99.4,99.22,99.05
87.93,87.58,87.23,87.98,88.73,90.1,91.47
43.33,43.42,43.52,46.22,48.93,51.5,54.07
63.77,64.07,64.37,62.75,61.13,60.04,58.94
65.62,65.76,65.9,72.1,78.29,78.28,78.26
17.7,17.07,16.43,16.65,16.87,16.74,16.61
21.36,19.77,18.18,18.96,19.74,20.1,20.46
13.5,14.47,15.44,15.42,15.41,16.01,16.61
8.72,8.26,7.8,7.1,6.4,6.43,6.46
81.41,80.42,79.43,78.86,78.29,76.26,74.22
45.34,44.43,43.52,42.71,41.9,40.9,39.91
58.36,56.8,55.24,53.18,51.13,49.7,48.28
52.82,51.5,50.18,47.72,45.27,43.66,42.04
57.12,56.18,55.24,53.18,51.13,49.7,48.28
10.28,10.33,10.38,9.76,9.14,9.38,9.61
78.41,77.17,75.93,74.52,73.1,72.15,71.2
75.71,73.91,72.11,70.31,68.51,64.25,59.99
20.73,19.79,18.85,19.67,20.5,20.48,20.46
81.41,81.9,82.39,81.88,81.38,80.18,78.99
73.26,69.58,65.9,60.56,55.21,52.62,50.03
74.98,73.04,71.09,72.45,73.8,74.28,74.76
51.74,49.78,47.82,44.36,40.91,38.72,36.54
81.85,80.64,79.43,76.61,73.8,74.28,74.76
53.87,54.56,55.24,53.18,51.13,50.58,50.03
42.22,41.98,41.74,40.82,39.89,42.62,45.35
26.77,26.58,26.39,25.3,24.2,24.44,24.67
80.17,80.04,79.91,80.94,81.98,83.02,84.05
74.98,74.84,74.69,72.1,69.5,67.23,64.96
91.72,90.92,90.13,88.85,87.58,85.82,84.05
53.87,53.12,52.37,51.75,51.13,50.58,50.03
51.74,51.46,51.19,47.7,44.22,43.7,43.19
20.73,20.47,20.22,19.04,17.86,17.24,16.61
86.5,87.55,88.6,88.4,88.19,86.12,84.05
42.22,42.48,42.73,39.2,35.66,35.07,34.47
95.03,95.21,95.38,95.46,95.54,95.34,95.13
36.39,34.32,32.25,31.62,30.98,30.59,30.2
44.29,43.51,42.73,43.47,44.22,45.34,46.47
34.42,31.9,29.39,30.18,30.98,30.14,29.31
27.67,26.76,25.85,25.02,24.2,24.44,24.67
45.34,43.12,40.91,38.78,36.64,37.58,38.51
12.8,13.15,13.5,13.96,14.42,14.77,15.12
52.82,50.32,47.82,46.99,46.16,42.34,38.51
0.67,0.62,0.57,0.54,0.51,0.48,0.45
90.39,89.66,88.92,88.73,88.54,88.98,89.43
66.6,67.84,69.09,70.36,71.63,72.13,72.63
33.17,32.71,32.25,30.18,28.11,27.17,26.23
43.33,44.54,45.75,45.51,45.27,44.23,43.19
88.83,88.51,88.19,85.34,82.49,83.27,84.05
73.26,71.68,70.11,68.45,66.79,67.48,68.17
14.17,14.48,14.8,15.47,16.14,16.92,17.7
94.87,95.02,95.16,95.18,95.19,94.38,93.57
51.74,48.74,45.75,50.08,54.41,55.82,57.22
30.85,29.59,28.33,27.9,27.48,27.68,27.88
42.22,41.98,41.74,41.82,41.9,41.97,42.04
48.55,46.66,44.76,45.96,47.15,44.6,42.04
79.72,73.29,66.86,64.6,62.34,58.75,55.16
69.02,66.17,63.32,57.22,51.13,48.8,46.47
43.33,43.03,42.73,43.47,44.22,43.7,43.19
69.02,70.06,71.09,72.45,73.8,72.9,71.99
79.11,77.52,75.93,73.78,71.63,72.13,72.63
70.33,69.24,68.16,66.22,64.28,63.87,63.46
96.53,96.94,97.36,97.84,98.31,98.04,97.77
67.65,66.36,65.07,67.71,70.36,63.79,57.22
72.43,72.72,73.0,73.78,74.56,74.66,74.76
70.33,69.24,68.16,68.83,69.5,68.84,68.17
54.66,53.52,52.37,52.94,53.52,54.34,55.16
42.22,41.57,40.91,41.4,41.9,40.2,38.51
30.02,29.18,28.33,28.22,28.11,28.0,27.88
87.14,86.31,85.48,85.43,85.39,85.62,85.84
24.45,23.78,23.11,22.92,22.73,21.26,19.8
94.4,93.18,91.95,90.64,89.33,88.84,88.35
66.6,65.48,64.37,64.33,64.28,61.61,58.94
8.15,7.45,6.75,7.72,8.69,9.5,10.31
69.02,72.16,75.29,76.42,77.55,77.9,78.26
5.89,5.51,5.13,5.4,5.67,6.06,6.46
25.18,23.06,20.95,19.72,18.5,19.15,19.8
73.26,76.01,78.76,82.58,86.41,85.5,84.6
84.81,86.32,87.84,88.7,89.56,90.07,90.58
93.6,93.82,94.05,93.49,92.93,92.66,92.39
46.39,47.1,47.82,48.0,48.17,47.73,47.29
59.85,58.69,57.53,59.94,62.34,66.44,70.53
65.62,64.03,62.43,59.39,56.35,58.73,61.11
95.64,93.8,91.95,93.74,95.54,93.92,92.3
57.12,51.44,45.75,46.96,48.17,51.12,54.07
77.36,79.19,81.03,81.96,82.9,84.86,86.82
46.39,40.52,34.64,39.96,45.27,38.72,32.18
88.83,88.34,87.84,86.31,84.78,84.99,85.2
42.22,44.53,46.83,48.98,51.13,52.6,54.07
4.87,5.28,5.7,5.68,5.67,5.76,5.86
89.46,90.56,91.66,79.22,66.79,67.04,67.28
6.34,5.86,5.38,4.94,4.49,4.4,4.3
93.0,92.98,92.96,92.48,92.01,91.3,90.58
97.64,97.85,98.06,97.71,97.36,97.17,96.98
19.01,18.93,18.85,17.86,16.87,16.74,16.61
51.74,57.08,62.43,65.96,69.5,70.35,71.2
88.48,89.53,90.58,82.57,74.56,77.82,81.09
68.29,70.2,72.11,73.33,74.56,75.54,76.51
34.42,36.16,37.89,39.9,41.9,44.6,47.29
90.64,88.6,86.56,89.11,91.66,81.43,71.2
90.93,92.29,93.66,94.74,95.83,95.93,96.02
