2014 Mortality Data and Encoding,2015 Mortality Data and Encoding,2016 Mortality Data and Encoding,2017 Mortality Data and Encoding,2018 Mortality Data and Encoding,2019 Mortality Data and Encoding,2020 Mortality Data and Encoding,2014 Dispensing Data and Encoding,2015 Dispensing Data and Encoding,2016 Dispensing Data and Encoding,2017 Dispensing Data and Encoding,2018 Dispensing Data and Encoding,2019 Dispensing Data and Encoding,2020 Dispensing Data and Encoding,2014 SVI Aged 17 or Younger Data and Encoding,2015 SVI Aged 17 or Younger Data and Encoding,2016 SVI Aged 17 or Younger Data and Encoding,2017 SVI Aged 17 or Younger Data and Encoding,2018 SVI Aged 17 or Younger Data and Encoding,2019 SVI Aged 17 or Younger Data and Encoding,2020 SVI Aged 17 or Younger Data and Encoding,2014 SVI Aged 65 or Older Data and Encoding,2015 SVI Aged 65 or Older Data and Encoding,2016 SVI Aged 65 or Older Data and Encoding,2017 SVI Aged 65 or Older Data and Encoding,2018 SVI Aged 65 or Older Data and Encoding,2019 SVI Aged 65 or Older Data and Encoding,2020 SVI Aged 65 or Older Data and Encoding,2014 SVI Below Poverty Data and Encoding,2015 SVI Below Poverty Data and Encoding,2016 SVI Below Poverty Data and Encoding,2017 SVI Below Poverty Data and Encoding,2018 SVI Below Poverty Data and Encoding,2019 SVI Below Poverty Data and Encoding,2020 SVI Below Poverty Data and Encoding,2014 SVI Crowding Data and Encoding,2015 SVI Crowding Data and Encoding,2016 SVI Crowding Data and Encoding,2017 SVI Crowding Data and Encoding,2018 SVI Crowding Data and Encoding,2019 SVI Crowding Data and Encoding,2020 SVI Crowding Data and Encoding,2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding,2014 SVI Group Quarters Data and Encoding,2015 SVI Group Quarters Data and Encoding,2016 SVI Group Quarters Data and Encoding,2017 SVI Group Quarters Data and Encoding,2018 SVI Group Quarters Data and Encoding,2019 SVI Group Quarters Data and Encoding,2020 SVI Group Quarters Data and Encoding,2014 SVI Limited English Ability Data and Encoding,2015 SVI Limited English Ability Data and Encoding,2016 SVI Limited English Ability Data and Encoding,2017 SVI Limited English Ability Data and Encoding,2018 SVI Limited English Ability Data and Encoding,2019 SVI Limited English Ability Data and Encoding,2020 SVI Limited English Ability Data and Encoding,2014 SVI Minority Status Data and Encoding,2015 SVI Minority Status Data and Encoding,2016 SVI Minority Status Data and Encoding,2017 SVI Minority Status Data and Encoding,2018 SVI Minority Status Data and Encoding,2019 SVI Minority Status Data and Encoding,2020 SVI Minority Status Data and Encoding,2014 SVI Mobile Homes Data and Encoding,2015 SVI Mobile Homes Data and Encoding,2016 SVI Mobile Homes Data and Encoding,2017 SVI Mobile Homes Data and Encoding,2018 SVI Mobile Homes Data and Encoding,2019 SVI Mobile Homes Data and Encoding,2020 SVI Mobile Homes Data and Encoding,2014 SVI Multi-Unit Structures Data and Encoding,2015 SVI Multi-Unit Structures Data and Encoding,2016 SVI Multi-Unit Structures Data and Encoding,2017 SVI Multi-Unit Structures Data and Encoding,2018 SVI Multi-Unit Structures Data and Encoding,2019 SVI Multi-Unit Structures Data and Encoding,2020 SVI Multi-Unit Structures Data and Encoding,2014 SVI No High School Diploma Data and Encoding,2015 SVI No High School Diploma Data and Encoding,2016 SVI No High School Diploma Data and Encoding,2017 SVI No High School Diploma Data and Encoding,2018 SVI No High School Diploma Data and Encoding,2019 SVI No High School Diploma Data and Encoding,2020 SVI No High School Diploma Data and Encoding,2014 SVI No Vehicle Data and Encoding,2015 SVI No Vehicle Data and Encoding,2016 SVI No Vehicle Data and Encoding,2017 SVI No Vehicle Data and Encoding,2018 SVI No Vehicle Data and Encoding,2019 SVI No Vehicle Data and Encoding,2020 SVI No Vehicle Data and Encoding,2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding,2014 SVI Unemployed Data and Encoding,2015 SVI Unemployed Data and Encoding,2016 SVI Unemployed Data and Encoding,2017 SVI Unemployed Data and Encoding,2018 SVI Unemployed Data and Encoding,2019 SVI Unemployed Data and Encoding,2020 SVI Unemployed Data and Encoding
15.2,16.3,18.9,15.0,18.4,14.8,20.8,75.1,71.7,68.6,63.8,51.5,42.0,39.1,13.56,13.7,13.85,15.38,16.91,17.32,17.73,53.87,51.48,49.09,49.01,48.93,49.48,50.03,25.63,23.45,21.27,29.32,37.36,46.48,55.6,9.42,11.78,14.14,13.18,12.23,13.15,14.07,51.19,49.74,48.3,50.26,52.21,57.15,62.09,93.76,94.44,95.13,95.51,95.89,95.66,95.42,25.98,23.1,20.22,24.96,29.7,30.43,31.16,47.37,47.66,47.95,47.47,46.99,46.78,46.56,58.87,58.12,57.37,57.08,56.8,57.44,58.08,28.11,26.65,25.18,33.44,41.71,42.08,42.46,63.1,63.07,63.04,67.9,72.75,72.52,72.28,36.52,35.62,34.73,45.5,56.26,60.91,65.56,66.35,56.38,46.42,48.48,50.53,55.8,61.08,28.84,28.02,27.19,35.11,43.03,41.08,39.12
9.0,9.7,9.8,11.1,10.6,10.9,13.8,101.5,97.1,88.4,82.2,76.1,42.6,41.9,44.03,48.46,52.88,53.69,54.5,59.04,63.59,78.41,76.09,73.77,70.28,66.79,66.39,65.98,42.79,43.2,43.62,47.45,51.27,44.44,37.62,68.51,54.68,40.85,22.04,3.22,11.59,19.96,69.02,69.46,69.91,65.33,60.74,63.52,66.3,43.94,47.36,50.78,49.03,47.28,48.66,50.03,16.05,12.05,8.05,21.94,35.82,53.6,71.39,9.2,9.53,9.87,9.86,9.84,10.25,10.66,53.9,52.18,50.46,50.05,49.63,51.15,52.67,60.68,58.48,56.29,58.87,61.45,58.34,55.22,27.22,38.36,49.51,50.04,50.56,41.68,32.81,51.29,57.77,64.25,62.34,60.43,62.26,64.1,40.4,39.35,38.3,37.21,36.13,36.36,36.6,32.22,32.6,32.98,43.9,54.81,50.21,45.61
9.8,9.6,11.8,14.6,12.0,15.4,14.6,88.2,84.5,84.2,76.0,66.3,50.4,46.1,41.93,44.9,47.88,49.14,50.4,51.3,52.2,54.66,53.52,52.37,52.26,52.15,52.57,52.99,39.29,42.82,46.35,48.21,50.06,45.99,41.92,55.4,58.0,60.59,56.19,51.8,46.02,40.23,28.84,27.73,26.62,28.4,30.18,34.26,38.35,67.75,68.45,69.15,69.64,70.14,70.65,71.16,81.15,82.49,83.83,82.48,81.12,79.87,78.61,65.39,65.83,66.28,66.64,66.99,66.77,66.55,10.35,11.88,13.4,12.72,12.03,11.34,10.66,89.27,89.19,89.11,89.43,89.75,89.91,90.07,40.62,40.42,40.21,41.48,42.76,46.03,49.3,82.23,80.29,78.35,79.31,80.26,81.25,82.24,78.61,79.1,79.59,83.2,86.82,84.46,82.11,48.2,55.12,62.05,64.51,66.97,66.57,66.17
17.3,13.6,16.1,25.0,25.2,26.8,35.0,79.5,78.9,77.0,69.0,59.8,59.8,53.1,75.58,73.7,71.82,70.04,68.26,68.5,68.75,18.69,18.44,18.18,18.96,19.74,20.43,21.13,60.39,61.33,62.27,61.69,61.11,53.68,46.24,33.56,36.06,38.55,30.29,22.03,26.93,31.83,28.84,27.4,25.95,25.86,25.76,31.33,36.89,34.73,34.48,34.22,32.2,30.18,30.87,31.57,39.73,41.04,42.34,44.38,46.42,44.7,42.97,79.02,78.84,78.67,78.44,78.22,78.24,78.26,27.63,27.36,27.09,27.15,27.22,25.6,23.97,75.84,75.71,75.58,75.5,75.42,74.94,74.47,27.22,26.8,26.39,27.46,28.53,28.18,27.82,83.86,85.53,87.2,87.54,87.87,86.28,84.69,90.16,90.52,90.89,87.36,83.83,84.62,85.42,57.59,63.48,69.37,72.09,74.81,67.26,59.71
24.7,25.2,26.5,29.3,27.2,36.2,30.6,246.9,213.5,217.1,202.8,177.0,127.1,129.7,44.54,41.94,39.35,39.67,39.99,41.21,42.43,72.43,69.98,67.53,66.66,65.78,62.89,59.99,78.26,80.95,83.64,84.66,85.67,81.74,77.82,39.13,47.85,56.57,52.37,48.17,42.08,36.0,88.98,88.02,87.07,89.32,91.56,92.24,92.93,60.46,58.06,55.65,54.04,52.44,51.24,50.03,37.38,45.42,53.45,49.93,46.42,35.29,24.16,31.55,31.06,30.56,30.07,29.58,28.3,27.02,62.27,61.82,61.38,62.16,62.94,60.72,58.5,53.84,48.82,43.81,50.33,56.86,63.14,69.41,54.98,55.5,56.03,57.16,58.29,58.73,59.17,85.23,84.22,83.22,85.04,86.85,88.94,91.02,45.46,58.86,72.27,80.18,88.09,84.62,81.16,90.61,92.54,94.46,93.78,93.09,90.54,88.0
16.5,20.2,16.7,24.1,21.0,19.4,27.1,111.1,105.9,98.4,85.5,73.9,92.9,84.9,56.42,55.86,55.3,54.17,53.04,52.62,52.2,30.85,31.55,32.25,33.96,35.66,37.79,39.91,42.02,44.46,46.9,49.88,52.87,44.96,37.05,34.51,32.66,30.82,33.92,37.03,38.63,40.23,36.01,35.23,34.45,34.32,34.19,33.76,33.32,50.88,52.02,53.17,52.8,52.44,52.44,52.45,34.48,34.45,34.42,32.06,29.7,33.39,37.08,55.65,55.68,55.71,55.68,55.65,55.42,55.19,21.68,22.57,23.46,22.97,22.48,22.0,21.51,83.89,84.1,84.3,83.42,82.55,81.6,80.65,9.55,11.9,14.26,15.53,16.81,18.86,20.91,68.64,72.62,76.6,78.43,80.26,79.31,78.36,76.35,75.32,74.28,77.53,80.77,82.78,84.79,47.06,53.27,59.47,61.61,63.76,57.74,51.72
6.7,7.8,8.4,9.6,8.6,8.9,11.4,47.9,4.1,2.6,1.4,31.4,30.2,30.8,18.05,14.3,10.54,11.99,13.44,10.24,7.03,70.33,71.22,72.11,75.2,78.29,80.49,82.69,56.29,65.94,75.58,79.43,83.28,64.76,46.24,30.18,17.81,5.44,3.86,2.29,5.52,8.75,51.74,59.58,67.43,75.34,83.25,85.06,86.86,90.1,92.42,94.75,95.26,95.77,95.52,95.26,34.0,33.14,32.28,48.93,65.58,58.54,51.5,22.13,21.96,21.78,27.22,32.66,27.07,21.48,43.27,48.34,53.42,54.76,56.1,54.06,52.01,29.32,27.82,26.33,21.94,17.54,39.02,60.5,43.33,41.26,39.19,37.72,36.26,34.53,32.81,23.62,14.92,6.21,12.96,19.71,23.62,27.53,36.49,56.16,75.84,77.44,79.05,50.95,22.85,17.06,29.0,40.94,45.5,50.06,66.66,83.26
8.9,9.7,11.7,11.8,12.1,11.6,15.0,0.0,0.3,0.1,0.0,0.0,4.4,3.1,62.02,56.24,50.46,50.43,50.4,44.16,37.91,68.29,67.58,66.86,65.04,63.23,65.7,68.17,35.94,40.51,45.08,41.22,37.36,32.04,26.73,30.37,30.54,30.72,39.44,48.17,32.48,16.8,28.18,20.78,13.37,15.88,18.4,24.12,29.85,12.45,13.62,14.8,15.02,15.25,15.47,15.69,23.62,23.28,22.95,18.86,14.77,22.96,31.16,2.64,2.53,2.42,2.31,2.2,2.3,2.39,51.51,48.64,45.78,44.27,42.76,45.69,48.63,3.69,3.82,3.95,3.33,2.71,1.36,0.0,32.25,22.9,13.56,14.39,15.22,12.69,10.15,40.18,45.26,50.33,41.16,32.0,25.28,18.56,73.48,63.76,54.03,50.58,47.12,48.13,49.14,56.45,69.52,82.59,76.13,69.68,46.72,23.77
10.3,10.0,11.2,14.1,12.8,13.2,19.2,37.5,33.7,33.0,30.9,29.1,18.2,15.7,35.78,36.61,37.44,36.86,36.29,38.53,40.77,79.11,78.51,77.91,78.69,79.47,79.44,79.41,20.98,26.71,32.44,29.26,26.08,25.83,25.59,17.51,23.58,29.64,31.62,33.59,57.83,82.08,44.73,32.93,21.14,21.38,21.62,29.26,36.89,15.35,15.44,15.54,15.4,15.25,15.47,15.69,12.45,11.39,10.32,8.7,7.07,7.83,8.59,1.88,1.74,1.59,1.67,1.75,1.4,1.05,51.83,51.5,51.16,50.03,48.9,50.06,51.21,31.9,34.52,37.15,35.53,33.91,35.94,37.97,23.27,18.42,13.56,15.93,18.31,16.03,13.75,40.18,32.57,24.96,24.58,24.2,18.91,13.62,15.47,25.58,35.69,26.9,18.12,16.81,15.5,33.43,31.8,30.18,32.53,34.87,32.76,30.65
10.1,11.1,14.2,14.4,14.6,15.0,17.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,37.25,34.15,31.04,36.42,41.8,40.65,39.5,90.04,91.17,92.3,85.88,79.47,77.99,76.51,12.45,23.92,35.4,47.14,58.89,50.4,41.92,36.45,27.01,17.57,12.68,7.8,3.9,0.0,62.56,59.87,57.18,41.0,24.83,25.46,26.1,43.52,43.84,44.16,45.72,47.28,45.95,44.62,16.14,13.64,11.14,9.1,7.07,7.83,8.59,5.57,5.76,5.95,6.7,7.45,9.63,11.81,19.99,18.02,16.05,16.24,16.43,18.74,21.04,0.0,0.0,0.0,4.22,8.44,9.24,10.03,41.1,43.87,46.64,37.04,27.44,36.2,44.97,24.99,24.2,23.4,18.34,13.28,14.66,16.04,5.76,12.48,19.2,30.23,41.26,24.48,7.7,44.57,47.86,51.16,34.69,18.22,17.83,17.44
11.7,14.5,12.6,14.0,14.9,17.4,19.8,90.7,86.8,82.9,74.1,68.4,50.3,49.6,39.26,38.76,38.27,38.44,38.62,39.7,40.77,79.72,79.57,79.43,79.16,78.89,80.58,82.27,45.85,48.46,51.07,49.15,47.23,49.8,52.36,12.89,10.14,7.39,7.59,7.8,12.3,16.8,44.03,40.99,37.95,40.22,42.5,46.84,51.18,41.36,43.4,45.43,44.96,44.48,44.55,44.62,33.68,31.59,29.51,26.1,22.7,23.43,24.16,50.75,51.08,51.42,51.61,51.8,51.95,52.1,15.7,16.92,18.15,17.29,16.43,18.46,20.5,70.04,73.94,77.84,79.46,81.09,79.2,77.31,25.21,24.99,24.77,18.8,12.83,18.65,24.47,85.86,85.29,84.72,87.06,89.4,87.96,86.51,69.09,78.94,88.79,91.18,93.57,90.16,86.76,80.58,76.1,71.63,73.22,74.81,77.36,79.92
15.1,15.8,17.6,23.4,18.8,15.9,21.1,99.8,94.3,90.9,83.5,72.8,32.6,29.6,56.1,56.83,57.56,57.36,57.15,57.76,58.37,47.56,47.2,46.83,46.99,47.15,48.24,49.33,9.96,8.02,6.08,8.62,11.15,12.29,13.43,16.91,21.3,25.69,23.86,22.03,19.42,16.8,14.45,14.45,14.45,16.06,17.67,19.24,20.81,46.58,48.02,49.47,49.71,49.95,49.99,50.03,19.2,19.28,19.36,21.03,22.7,26.93,31.16,20.15,19.71,19.26,18.64,18.02,17.28,16.55,6.3,6.88,7.45,7.45,7.45,7.41,7.38,71.63,71.46,71.28,71.62,71.95,72.66,73.36,9.55,10.09,10.63,12.92,15.22,15.26,15.31,34.8,33.89,32.98,41.5,50.02,53.27,56.52,41.23,39.17,37.12,40.21,43.3,36.9,30.49,31.01,28.44,25.88,27.56,29.24,32.32,35.39
13.1,12.6,16.8,19.9,16.3,18.6,23.1,162.9,163.5,159.4,141.8,119.6,77.5,69.2,27.51,27.88,28.24,29.57,30.91,34.41,37.91,73.26,72.18,71.09,69.8,68.51,68.82,69.13,61.67,55.12,48.58,59.71,70.83,69.52,68.2,23.69,43.81,63.93,69.13,74.34,58.98,43.63,69.79,69.34,68.9,68.93,68.96,66.15,63.34,74.28,71.11,67.94,65.22,62.5,63.49,64.48,52.88,46.28,39.67,37.74,35.82,33.49,31.16,31.77,31.94,32.12,31.71,31.3,30.29,29.28,69.12,67.88,66.63,65.0,63.36,64.62,65.88,50.18,49.9,49.63,48.82,48.01,48.56,49.11,59.28,58.94,58.61,54.87,51.13,49.14,47.14,51.29,44.72,38.14,44.78,51.42,64.89,78.36,43.97,42.06,40.15,53.59,67.02,55.09,43.16,65.46,53.94,42.41,55.36,68.31,62.08,55.86
18.7,19.0,25.9,28.4,21.6,27.9,28.8,107.1,100.2,93.6,84.9,71.9,54.0,50.2,69.56,69.9,70.23,69.86,69.5,69.68,69.86,52.82,52.0,51.19,51.67,52.15,52.57,52.99,68.55,71.3,74.05,75.64,77.23,75.06,72.88,26.11,29.6,33.08,35.06,37.03,34.43,31.83,47.85,48.95,50.05,49.55,49.06,42.97,36.89,64.28,67.24,70.2,71.08,71.95,72.08,72.22,46.16,46.61,47.06,46.74,46.42,41.75,37.08,58.39,58.38,58.36,58.39,58.42,58.14,57.86,26.07,24.76,23.46,23.46,23.46,23.22,22.98,76.38,76.2,76.03,75.28,74.53,73.94,73.36,50.62,50.32,50.02,49.27,48.52,46.3,44.08,88.38,89.51,90.64,91.31,91.98,90.38,88.77,85.07,86.26,87.46,88.1,88.73,89.9,91.06,83.25,82.92,82.59,80.77,78.95,72.56,66.17
10.4,11.3,15.2,13.7,12.3,13.4,19.1,123.2,115.8,112.3,89.9,68.5,33.1,35.7,29.99,34.85,39.7,43.63,47.56,47.35,47.14,70.33,68.12,65.9,66.35,66.79,67.96,69.13,31.68,28.99,26.3,28.15,30.0,39.84,49.68,38.2,36.68,35.15,27.02,18.88,21.32,23.77,69.02,70.48,71.95,69.7,67.46,71.27,75.08,10.92,10.03,9.14,9.25,9.36,9.56,9.77,28.62,35.3,41.99,41.93,41.87,48.5,55.12,11.21,12.04,12.86,14.82,16.78,15.62,14.45,47.98,48.44,48.9,52.5,56.1,59.26,62.41,72.52,74.9,77.27,76.55,75.84,67.17,58.5,25.82,30.1,34.38,32.54,30.69,29.66,28.64,40.18,54.76,69.34,62.8,56.26,74.42,92.58,7.26,13.31,19.36,19.36,19.36,41.73,64.1,57.59,65.25,72.91,64.8,56.69,47.9,39.12
6.5,6.6,7.5,8.1,8.7,9.0,11.3,71.1,72.6,76.7,69.2,60.7,31.4,32.3,41.13,42.98,44.83,47.61,50.4,48.08,45.77,61.0,60.74,60.49,56.32,52.15,52.15,52.16,46.55,47.57,48.58,41.09,33.6,35.61,37.62,77.4,78.2,78.99,82.74,86.5,81.01,75.53,19.8,20.92,22.03,25.24,28.46,29.72,30.97,87.3,87.3,87.3,87.09,86.88,86.8,86.73,83.64,83.19,82.74,77.22,71.7,68.86,66.01,46.26,47.63,49.0,49.92,50.84,50.45,50.06,13.69,15.6,17.51,17.51,17.51,13.56,9.61,64.44,58.46,52.47,54.09,55.71,58.6,61.49,36.33,43.18,50.02,50.57,51.13,53.36,55.6,49.32,47.35,45.37,40.54,35.72,43.97,52.23,68.32,56.76,45.21,55.26,65.3,63.94,62.57,70.77,68.96,67.14,68.41,69.68,80.32,90.96
11.6,15.0,15.9,15.2,13.7,13.3,21.0,18.2,26.0,32.5,31.2,28.4,30.5,25.1,29.67,31.16,32.66,35.64,38.62,38.26,37.91,65.62,64.03,62.43,62.39,62.34,65.74,69.13,25.63,23.76,21.9,15.36,8.82,8.06,7.29,35.05,35.35,35.66,43.73,51.8,46.02,40.23,34.89,28.02,21.14,20.47,19.8,21.39,22.98,43.71,44.82,45.94,45.21,44.48,44.55,44.62,34.32,32.51,30.69,30.2,29.7,26.93,24.16,7.61,7.29,6.97,6.54,6.11,5.18,4.26,45.5,48.33,51.16,49.87,48.58,46.28,43.98,22.19,24.94,27.7,23.64,19.58,11.36,3.15,19.36,22.06,24.77,21.92,19.07,23.85,28.64,13.34,9.15,4.97,7.6,10.22,13.13,16.04,10.25,16.85,23.46,23.65,23.85,31.45,39.05,22.86,26.52,30.18,28.82,27.45,41.66,55.86
8.6,9.9,9.9,10.0,10.8,11.7,13.2,85.3,81.2,79.9,74.7,64.3,60.3,56.2,46.26,48.67,51.07,52.78,54.5,55.54,56.59,80.17,77.43,74.69,74.63,74.56,74.39,74.22,44.54,47.0,49.47,47.3,45.13,46.88,48.63,37.95,39.03,40.11,45.96,51.8,47.72,43.63,58.42,62.24,66.06,69.82,73.58,70.35,67.12,5.32,4.81,4.3,3.86,3.41,3.52,3.63,22.0,32.98,43.97,47.55,51.13,49.24,47.36,5.13,5.24,5.35,5.16,4.97,4.2,3.44,83.38,83.43,83.48,85.94,88.41,86.63,84.85,34.38,37.65,40.91,40.64,40.37,45.5,50.64,50.62,50.32,50.02,48.16,46.29,52.42,58.56,40.18,46.78,53.39,62.82,72.24,79.38,86.51,40.34,30.47,20.6,26.53,32.47,26.24,20.02,20.25,23.72,27.19,22.7,18.22,21.82,25.43
11.7,11.9,13.5,19.1,13.9,16.9,19.0,117.1,120.1,113.1,100.2,75.6,29.4,29.1,31.42,35.54,39.67,42.34,45.02,41.46,37.91,86.5,85.78,85.07,82.27,79.47,78.55,77.63,38.78,38.92,39.06,38.72,38.38,54.98,71.58,41.36,38.0,34.64,30.34,26.04,24.9,23.77,76.5,78.96,81.41,81.95,82.49,82.22,81.95,61.32,62.04,62.75,63.52,64.28,65.06,65.85,19.29,31.18,43.08,36.39,29.7,19.14,8.59,3.76,3.88,4.01,4.07,4.14,3.79,3.44,47.18,52.62,58.07,58.96,59.85,56.88,53.91,29.0,25.4,21.81,28.82,35.82,36.9,37.97,48.55,47.6,46.64,35.38,24.13,28.99,33.86,54.6,65.6,76.6,78.08,79.56,73.38,67.19,42.66,45.34,48.01,55.18,62.34,68.13,73.93,42.73,57.18,71.63,76.98,82.32,76.24,70.15
13.5,13.7,11.0,12.7,14.1,12.1,15.1,70.3,69.2,64.1,55.8,47.4,38.0,35.0,50.33,51.52,52.72,51.56,50.4,49.23,48.06,67.65,66.78,65.9,66.89,67.88,67.58,67.28,23.56,23.38,23.21,22.8,22.39,20.04,17.7,21.24,24.1,26.97,21.24,15.5,21.54,27.59,44.03,47.04,50.05,45.4,40.75,42.48,44.21,43.81,45.26,46.7,46.99,47.28,47.54,47.8,51.7,51.19,50.68,54.3,57.91,56.52,55.12,49.06,48.93,48.81,48.33,47.85,47.81,47.77,12.77,14.22,15.66,14.45,13.24,11.04,8.85,69.12,68.53,67.94,67.24,66.54,64.53,62.51,41.1,40.42,39.73,35.91,32.09,31.38,30.68,69.79,70.14,70.49,62.45,54.41,48.61,42.81,52.53,51.85,51.16,51.75,52.34,60.48,68.62,57.59,53.58,49.57,48.24,46.91,36.17,25.43
12.9,14.8,18.7,21.4,18.6,21.0,20.0,58.4,55.5,53.9,50.4,44.8,33.1,31.2,92.84,91.64,90.45,88.8,87.14,85.38,83.61,4.68,5.19,5.7,6.22,6.75,7.29,7.83,6.24,5.88,5.51,5.24,4.97,4.56,4.14,59.44,55.81,52.18,48.38,44.57,47.44,50.32,2.55,2.86,3.18,2.99,2.8,3.1,3.41,20.44,23.84,27.25,26.53,25.82,26.34,26.86,85.83,85.7,85.58,85.56,85.55,85.44,85.33,74.88,75.01,75.14,75.36,75.58,75.9,76.23,4.49,4.79,5.09,5.26,5.44,5.16,4.87,75.74,75.37,75.01,74.77,74.53,73.94,73.36,21.87,23.02,24.16,25.8,27.44,28.36,29.28,17.13,16.68,16.24,16.67,17.1,15.98,14.86,52.91,51.99,51.07,49.1,47.12,50.28,53.44,56.45,53.01,49.57,47.24,44.9,47.22,49.55
20.3,15.3,21.3,21.4,20.2,16.0,24.3,153.8,150.0,151.9,135.7,121.5,92.5,90.0,37.06,38.49,39.92,41.58,43.23,44.5,45.77,54.66,53.52,52.37,51.29,50.21,50.12,50.03,43.97,44.52,45.08,48.18,51.27,47.53,43.79,21.55,20.26,18.97,17.24,15.5,11.2,6.91,51.19,56.86,62.53,64.69,66.86,69.36,71.87,66.28,66.52,66.76,67.47,68.19,68.12,68.05,43.46,38.86,34.26,40.34,46.42,41.75,37.08,34.86,34.91,34.96,34.91,34.86,34.54,34.21,40.46,40.3,40.15,42.2,44.25,42.97,41.69,55.33,52.04,48.74,47.76,46.77,47.94,49.11,33.81,31.09,28.37,26.68,24.99,23.36,21.74,62.97,63.61,64.25,68.24,72.24,70.86,69.48,59.92,60.4,60.87,62.43,63.99,67.07,70.15,41.39,51.08,60.78,58.74,56.69,57.31,57.92
28.2,32.9,37.2,38.4,50.2,42.3,51.3,102.5,96.8,94.5,86.9,77.4,72.9,66.2,70.81,70.22,69.63,68.37,67.11,67.39,67.66,32.12,32.18,32.25,33.38,34.51,35.14,35.77,58.68,53.63,48.58,51.98,55.38,56.79,58.21,53.23,52.62,52.02,53.5,54.98,54.21,53.44,30.82,32.64,34.45,34.84,35.24,36.07,36.89,33.08,33.88,34.67,34.62,34.57,34.87,35.17,81.53,80.92,80.32,79.4,78.48,78.54,78.61,69.02,69.2,69.37,69.58,69.79,70.11,70.43,6.3,6.3,6.3,6.19,6.08,5.7,5.32,83.22,82.7,82.17,82.23,82.3,81.65,81.0,48.55,48.72,48.9,50.02,51.13,53.92,56.72,77.94,78.37,78.8,80.82,82.84,83.43,84.02,89.53,90.29,91.05,90.62,90.19,89.22,88.26,85.9,86.66,87.42,88.76,90.1,88.84,87.59
11.5,10.0,12.3,11.2,10.9,10.6,15.0,20.8,25.1,28.9,27.6,24.1,33.9,30.6,80.58,81.01,81.44,80.8,80.17,78.93,77.69,40.78,40.38,39.99,38.81,37.63,38.07,38.51,6.02,5.76,5.51,5.59,5.67,5.24,4.81,32.98,23.24,13.5,12.87,12.23,11.67,11.11,5.16,5.1,5.03,5.74,6.46,7.54,8.63,63.74,63.72,63.71,64.0,64.28,64.38,64.48,13.94,11.24,8.53,7.8,7.07,11.55,16.04,10.32,10.16,10.0,9.28,8.56,7.79,7.03,15.7,14.33,12.96,10.43,7.9,8.15,8.4,40.82,39.59,38.36,37.8,37.25,37.61,37.97,5.64,5.56,5.48,5.35,5.22,6.18,7.13,19.33,24.36,29.39,28.18,26.97,24.14,21.32,25.34,20.65,15.95,19.06,22.16,32.66,43.16,28.84,28.61,28.37,27.24,26.11,24.94,23.77
10.7,10.9,12.1,14.9,12.4,16.1,18.5,67.7,65.8,63.8,57.3,50.8,29.6,26.0,97.93,98.0,98.06,98.02,97.99,98.18,98.38,25.95,24.53,23.11,21.8,20.5,19.38,18.27,64.31,64.55,64.79,64.37,63.95,69.26,74.57,91.37,90.74,90.1,91.23,92.36,88.92,85.49,18.31,20.87,23.43,20.24,17.06,15.23,13.4,35.21,37.97,40.72,39.32,37.92,38.32,38.73,76.25,72.5,68.74,63.32,57.91,61.02,64.13,22.29,22.3,22.32,21.73,21.14,20.08,19.03,8.76,10.03,11.3,12.6,13.91,14.38,14.86,78.7,78.12,77.55,75.87,74.18,73.1,72.02,62.62,63.46,64.31,67.1,69.88,70.54,71.2,96.15,94.21,92.26,92.64,93.03,94.19,95.35,32.92,36.8,40.69,40.98,41.26,34.76,28.26,36.55,34.06,31.58,25.52,19.46,17.28,15.09
13.9,16.5,19.5,24.0,21.8,27.9,29.5,85.8,82.1,76.0,67.2,58.2,84.2,80.6,89.11,89.16,89.21,88.94,88.67,88.59,88.51,14.65,14.57,14.49,14.46,14.42,14.6,14.77,45.85,46.38,46.9,46.72,46.53,44.22,41.92,43.46,45.32,47.18,40.38,33.59,32.71,31.83,16.71,18.48,20.25,20.94,21.62,22.3,22.98,37.22,37.44,37.66,36.11,34.57,34.87,35.17,76.89,78.22,79.56,78.48,77.4,77.5,77.59,63.96,64.09,64.22,64.26,64.31,64.38,64.45,13.69,14.31,14.93,14.68,14.42,14.18,13.94,89.46,88.95,88.44,88.09,87.74,87.14,86.54,30.25,33.13,36.01,37.98,39.96,40.64,41.31,68.64,66.44,64.25,62.34,60.43,57.03,53.63,81.06,82.06,83.06,84.67,86.28,83.72,81.16,57.59,55.08,52.56,52.14,51.72,51.72,51.72
